# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15bh, field: Blind15A_39, CCD: S10, ipix: 1757, jpix: 0857, RA: 10:11:39.57, DEC: -03:55:41.97
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2439525 57070.1580401 1.13 1.18 86.0 63.3604078476 76.0834630919 25.6157012178 0.856453665234 4.38429878219 g
57070.3127744 57070.1580401 1.35 1.18 86.0 29.4357084043 81.0531012054 26.4480598979 1.43610950626 3.55194010207 g
57070.3597705 57070.1580401 1.77 1.18 86.0 104.802580581 88.129460659 25.0693161868 0.662580956701 1.99588775665 g
57071.0871079 57070.1580401 1.55 1.18 86.0 109.849946094 80.2374986705 25.0182465078 0.595383961539 1.42331386372 g
57071.1545744 57070.1580401 1.18 1.18 86.0 43.6643992084 77.2329986245 26.0199274057 1.1057236609 3.98007259426 g
57071.2227531 57070.1580401 1.11 1.18 86.0 25.0627529584 76.2309272597 26.6226741948 1.51638394239 3.37732580519 g
57071.2929766 57070.1580401 1.27 1.18 86.0 68.1398856854 78.702286535 25.5367426265 0.833623499277 4.46325737349 g
57071.3618761 57070.1580401 1.84 1.18 86.0 25.7682666296 79.9697328113 26.5925331142 1.53286470935 3.40746688582 g
57072.0838676 57070.1580401 1.55 1.18 86.0 41.5727739708 85.8535317687 26.073223618 1.21612522112 3.92677638204 g
57072.1512081 57070.1580401 1.19 1.18 86.0 73.7691129667 78.8546123803 25.4505597248 0.789368721441 4.54944027523 g
57072.2209655 57070.1580401 1.11 1.18 86.0 34.2466986428 76.3294374144 26.2836993477 1.27260674457 3.71630065232 g
57072.2898749 57070.1580401 1.26 1.18 86.0 55.1512627678 81.3863133898 25.7663574764 0.98424182053 4.23364252362 g
57072.3589623 57070.1580401 1.83 1.18 86.0 49.6595643959 83.6906807936 25.8802388639 1.07247728218 4.11976113611 g
57073.0811934 57070.1580401 1.55 1.18 86.0 27.5624535838 84.2348967117 26.5194514395 1.52028408758 3.4805485605 g
57075.076376 57070.1580401 1.54 1.18 86.0 305.173926576 99.6220268984 23.908877564 0.306721841986 0.429064827096 g
57075.1436721 57070.1580401 1.18 1.18 86.0 176.952304569 106.010926462 24.5006055703 0.509684456827 0.99239150575 g
57075.2120756 57070.1580401 1.11 1.18 86.0 132.415229562 84.1374538716 24.8154012837 0.534064079804 1.09547671304 g
57075.2809447 57070.1580401 1.26 1.18 86.0 156.122286671 104.603185694 24.6365838691 0.556796398336 1.20374156942 g
57077.0610553 57070.0906303 1.64 1.54 86.0 356.105011134 187.659760322 23.8133009153 0.459582456656 0.812798285644 r
57077.1284464 57070.1580401 1.21 1.18 86.0 345.355605558 96.4846335444 23.7745798542 0.267496889217 0.355730663822 g
57077.1900865 57070.1580401 1.11 1.18 86.0 298.19517707 87.9431976453 23.9339945906 0.28060587316 0.3794013046 g
57080.1198226 57070.1580401 1.22 1.18 86.0 780.759619238 156.387192105 22.8889527691 0.198225720575 0.242684069083 g
57080.188233 57070.1580401 1.11 1.18 86.0 579.14306649 115.560184787 23.2132814748 0.19753367522 0.241646176336 g
57089.2450603 57070.0906303 1.27 1.54 86.0 2648.46068208 286.37852302 21.6347623032 0.111476955008 0.12424632648 r
57090.2451895 57070.1580401 1.28 1.18 86.0 1424.37044721 196.958729807 22.2361887422 0.140620609635 0.161581723595 g
57095.1311972 57070.0906303 1.12 1.54 86.0 1659.18142185 149.392607441 22.1425114376 0.0936060349529 0.102444181788 r
57095.1878741 57070.1580401 1.15 1.18 86.0 993.713688733 82.3195393705 22.6270929471 0.0864110255501 0.0938875902037 g
