# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15bi, field: Blind15A_43, CCD: N25, ipix: 139, jpix: 813, RA: 10:24:59.15, DEC: -02:51:39.57
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2493608 57070.1634274 1.14 1.22 86.0 -274.073094553 89.9820383296 30.0 0.0 0.0 g
57070.3182988 57070.1634274 1.35 1.22 86.0 -221.600662065 89.5377901182 30.0 0.0 0.0 g
57071.0924782 57070.1634274 1.64 1.22 86.0 98.1919358179 90.3416491774 24.9820565729 0.708282259287 2.74297576868 g
57071.1599776 57070.1634274 1.22 1.22 86.0 124.832203051 88.8107558969 24.7214295405 0.583404873127 1.34941369632 g
57071.2281741 57070.1634274 1.13 1.22 86.0 -358.477605476 89.0512055087 30.0 0.0 0.0 g
57071.2985095 57070.1634274 1.27 1.22 86.0 -347.46461546 88.7563975677 30.0 0.0 0.0 g
57072.0892808 57070.1634274 1.64 1.22 86.0 72.0598768606 92.7331949346 25.318012339 0.8981135839 4.681987661 g
57072.1578957 57070.1634274 1.22 1.22 86.0 192.987003342 88.7635664161 24.2484259717 0.410841851014 0.668906679904 g
57072.2263896 57070.1634274 1.13 1.22 86.0 85.1935356812 89.6787900815 25.1362295216 0.780786108739 4.86377047839 g
57072.2954066 57070.1634274 1.27 1.22 86.0 -169.297020744 89.039566041 30.0 0.0 0.0 g
57073.086693 57070.1634274 1.64 1.22 86.0 -48.256777459 87.0798174744 30.0 4.01047772079 0.0 g
57075.0817353 57070.1634274 1.64 1.22 86.0 356.888938128 107.354805882 23.5809134104 0.285532432403 0.388507821451 g
57075.1490481 57070.1634274 1.22 1.22 86.0 264.81242999 111.150624883 23.9049002118 0.380517008146 0.590931089677 g
57075.2175026 57070.1634274 1.13 1.22 86.0 -51.957317227 92.5772140995 30.0 4.05960091305 0.0 g
57075.2864195 57070.1634274 1.27 1.22 86.0 -248.109844309 110.423910448 30.0 0.0 0.0 g
57077.0665026 57070.095981 1.75 1.63 86.0 664.910845755 182.966738158 23.0663375855 0.263924341366 0.349416855568 r
57077.1338111 57070.1634274 1.26 1.22 86.0 724.148684231 91.3694206535 22.8126767633 0.129014652789 0.146438767964 g
57077.1954535 57070.1634274 1.13 1.22 86.0 744.759255971 94.1945039433 22.7822063546 0.129305288402 0.146813450335 g
57078.1989023 57070.1634274 1.13 1.22 86.0 497.6833382 92.6125702774 23.2198633747 0.185291679095 0.22355549517 g
57080.1251863 57070.1634274 1.26 1.22 86.0 741.310397964 208.208201819 22.7872458987 0.268758461541 0.357974050378 g
57080.1936658 57070.1634274 1.13 1.22 86.0 1132.0602059 120.298706067 22.3275723172 0.10964821562 0.121978437565 g
#57089.2512451 57070.095981 1.28 1.63 86.0 -10985.9557609 1245.07727084 30.0 0.0 0.0 r
57090.2513582 57070.1634274 1.29 1.22 86.0 -2146.62373781 194.747583862 30.0 0.0 0.0 g
57095.1365877 57070.095981 1.14 1.63 86.0 744.806136358 153.473874831 22.9431380129 0.203421224121 0.250529181191 r
57095.1934207 57070.1634274 1.16 1.22 86.0 675.720434911 94.763965473 22.8878284958 0.142491993216 0.164058651524 g
