# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15bj, field: Blind15A_20, CCD: S14, ipix: 1576, jpix: 640, RA: 09:37:58.66, DEC: -05:51:26.31
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2180953 57070.1326339 1.11 1.17 86.0 69.9632865251 78.2165305208 25.3500706224 0.814797129916 4.64992937756 g
57070.2868452 57070.1326339 1.3 1.17 86.0 45.2870257797 84.6290386495 25.8223116297 1.14422264139 4.17768837034 g
57070.3338368 57070.1326339 1.67 1.17 86.0 128.591216543 84.2476807894 24.6892178656 0.547099238199 1.15595246539 g
57071.0614963 57070.1326339 1.54 1.17 86.0 247.163898678 81.5899817425 23.9797835356 0.309714626702 0.434982785298 g
57071.1291896 57070.1326339 1.17 1.17 86.0 135.41567906 81.4007054994 24.6330737483 0.511057865814 0.997886960144 g
57071.1969179 57070.1326339 1.09 1.17 86.0 188.356508301 77.5220787565 24.2747945506 0.374256827862 0.575764851689 g
57071.2670536 57070.1326339 1.22 1.17 86.0 110.887883994 80.592163305 24.8500358877 0.593098574781 1.40875702005 g
57071.3360311 57070.1326339 1.72 1.17 86.0 125.299286836 81.0854984771 24.7173746303 0.541822697026 1.13097717772 g
57072.0581776 57070.1326339 1.55 1.17 86.0 116.302584967 93.5406092826 24.7982727092 0.64076380234 1.77094853122 g
57072.1258073 57070.1326339 1.18 1.17 86.0 133.517789571 80.490033006 24.6483982935 0.512226286133 1.00258969989 g
57072.1951827 57070.1326339 1.09 1.17 86.0 89.4176008974 80.5201595222 25.0836885945 0.697167192583 2.50539469573 g
57072.2637922 57070.1326339 1.22 1.17 86.0 156.795031043 78.0181658835 24.4739153895 0.438475514905 0.74733400225 g
57072.3330242 57070.1326339 1.72 1.17 86.0 91.1088529282 78.4354943754 25.063344681 0.674306839754 2.14167214203 g
57073.0556025 57070.1326339 1.55 1.17 86.0 -98.6523411061 105.005640787 30.0 2.04525222481 0.0 g
57074.0532771 57070.1326339 1.55 1.17 86.0 100.106050619 113.961797508 24.9610953083 0.825227788725 5.03890469174 g
57074.3202949 57070.1326339 1.64 1.17 86.0 65.8319978629 124.510766031 25.4161535401 1.15274834006 4.58384645993 g
57075.0508109 57070.1326339 1.54 1.17 86.0 54.7734885149 114.759453056 25.6158201232 1.22670923896 4.38417987678 g
57075.1182882 57070.1326339 1.17 1.17 86.0 182.869987721 115.5986114 24.3068900388 0.531890528686 1.08578030655 g
57075.1861573 57070.1326339 1.09 1.17 86.0 202.269617337 81.2152610347 24.197419496 0.366498112246 0.557375575302 g
57075.2549028 57070.1326339 1.22 1.17 86.0 -52.7964919195 111.738028679 30.0 4.46380750901 0.0 g
57075.3235386 57070.1326339 1.71 1.17 86.0 9.27923858492 109.166256236 27.5434652748 2.76501551322 2.45653472517 g
57077.0353111 57070.0650352 1.65 1.54 86.0 17.2835399825 173.986160168 26.9981643815 2.61003369598 3.0018356185 r
57077.1030671 57070.1326339 1.2 1.17 86.0 178.368222294 92.067721566 24.3339524183 0.451867323983 0.788260420953 g
57077.1642787 57070.1326339 1.09 1.17 86.0 203.038682409 81.1090376955 24.1932991619 0.364913473278 0.55367369535 g
57080.0425032 57070.0650352 1.5 1.54 86.0 937.187944072 183.093214187 22.6626793951 0.193750846288 0.236001968907 r
57080.0944461 57070.1326339 1.21 1.17 86.0 761.411892791 179.093675782 22.7581969882 0.229354288326 0.291148198332 g
57080.16229 57070.1326339 1.09 1.17 86.0 913.898870291 143.083654622 22.5600007769 0.157924166752 0.184869653905 g
57089.2233062 57070.0650352 1.24 1.54 86.0 2308.97630787 197.028899341 21.6836974364 0.0889062309506 0.0968409436271 r
57090.223319 57070.1326339 1.26 1.17 86.0 2209.50926927 157.382054958 21.6015065585 0.0747062248043 0.080228870073 g
57095.1119492 57070.0650352 1.1 1.54 86.0 2455.43138211 133.557153863 21.6169266228 0.0575058131494 0.0607227775937 r
57095.1619457 57070.1326339 1.12 1.17 86.0 2398.29299329 83.3379259963 21.5124905315 0.0370873821173 0.0383991818934 g
