# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15bk, field: Blind15A_25, CCD: N3, ipix: 1184, jpix: 333, RA: 09:48:58.67, DEC: 02:08:05.31
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2249242 57070.1393195 1.2 1.27 86.0 -11.2011051178 48.2263557911 30.0 3.8589988907 0.0 g
57070.2935577 57070.1393195 1.43 1.27 86.0 49.2814064026 46.9295024471 25.8305383948 0.726353059711 3.30315877699 g
57070.3405387 57070.1393195 1.89 1.27 86.0 -13.559967041 52.5760487887 30.0 3.91586300322 0.0 g
57071.0682754 57070.1393195 1.73 1.27 86.0 -19.4827346802 50.9068111546 30.0 3.68091017944 0.0 g
57071.1358795 57070.1393195 1.28 1.27 86.0 -24.4495010376 46.5397796349 30.0 3.2982568547 0.0 g
57071.2036092 57070.1393195 1.18 1.27 86.0 -11.4351902008 48.5931003418 30.0 3.86288207224 0.0 g
57071.2738799 57070.1393195 1.34 1.27 86.0 46.6735954285 65.3907181287 25.8895679847 0.950990194625 4.11043201534 g
57071.3428981 57070.1393195 1.97 1.27 86.0 65.7973861694 47.8341278309 25.5167245246 0.593225379356 1.40955881417 g
57072.0649289 57070.1393195 1.74 1.27 86.0 42.1232337952 77.5502047694 26.0009418668 1.13369016306 3.9990581332 g
57072.1324854 57070.1393195 1.28 1.27 86.0 53.2270507812 65.378511019 25.7469151198 0.869931629129 4.25308488023 g
57072.202007 57070.1393195 1.18 1.27 86.0 94.1270904541 65.9793198647 25.1279595419 0.57673521499 1.31067657931 g
57072.2707683 57070.1393195 1.34 1.27 86.0 37.0125350952 67.0676243169 26.1413740476 1.12254779134 3.85862595238 g
57072.3399719 57070.1393195 1.97 1.27 86.0 109.812103271 72.3276577629 24.9606206035 0.549386381561 1.16699779732 g
57073.0623806 57070.1393195 1.73 1.27 86.0 -125.314819336 93.8561984903 30.0 0.0 0.0 g
57074.0598913 57070.1393195 1.73 1.27 86.0 36.8254699707 110.548793521 26.1468753829 1.5056833741 3.85312461705 g
57075.0576025 57070.1393195 1.73 1.27 86.0 106.66532135 112.33675594 24.9921880129 0.781062470396 5.00781198713 g
57075.1249649 57070.1393195 1.28 1.27 86.0 170.0337677 92.4934429678 24.4859081825 0.471597864953 0.852518906985 g
57075.193096 57070.1393195 1.18 1.27 86.0 205.54750061 71.5486416017 24.2799656274 0.324295698046 0.464527749698 g
57075.2617824 57070.1393195 1.33 1.27 86.0 76.4492111206 120.28015684 25.3538136074 1.02624047099 4.64618639261 g
57075.3302265 57070.1393195 1.94 1.27 86.0 -9.77221393585 115.972991905 30.0 5.00307311729 0.0 g
57077.1097248 57070.1393195 1.31 1.27 86.0 230.007644653 80.1154325024 24.1578904514 0.324479534638 0.464908004017 g
57077.1709629 57070.1393195 1.18 1.27 86.0 315.723846436 67.6567829359 23.8139776653 0.210806952165 0.261845698573 g
57080.1011363 57070.1393195 1.31 1.27 86.0 530.940185547 150.180894902 23.249632135 0.270446811221 0.360987720502 g
57080.1692567 57070.1393195 1.18 1.27 86.0 785.826660156 106.203842106 22.8239292313 0.137632365669 0.157647017538 g
57090.2281613 57070.1393195 1.37 1.27 86.0 1006.9019165 137.37396896 22.5547782094 0.138858945525 0.159259055586 g
57095.1686341 57070.1393195 1.22 1.27 86.0 664.33807373 67.4955474883 23.0062732708 0.105058036633 0.116323457444 g
