# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15bl, field: Blind15A_15, CCD: N22, ipix: 3970, jpix: 1632, RA: 09:32:33.03, DEC: 01:05:05.07
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2113827 57070.1259416 1.19 1.27 86.0 84.0341761866 74.5387658408 25.2511062609 0.689432842234 2.36735552328 g
57070.2800182 57070.1259416 1.42 1.27 86.0 61.236028784 79.1544763904 25.5947285818 0.900826795659 4.40527141819 g
57071.0547404 57070.1259416 1.73 1.27 86.0 1.73443075699 74.3049783607 29.4643537122 4.10470441766 0.535646287775 g
57071.1225111 57070.1259416 1.27 1.27 86.0 35.0853811952 74.1984888043 26.1994306296 1.23357466649 3.80056937041 g
57071.1902024 57070.1259416 1.18 1.27 86.0 146.049545366 74.3387642474 24.6509956046 0.446720861131 0.772289390686 g
57071.2601576 57070.1259416 1.33 1.27 86.0 2.16799544385 74.9244161662 29.2221002152 3.87738316584 0.77789978483 g
57071.3290763 57070.1259416 1.94 1.27 86.0 57.902539551 69.2052158005 25.6555020984 0.853686093772 4.34449790162 g
57072.0514953 57070.1259416 1.73 1.27 86.0 -17.2586071567 92.2218913618 30.0 4.62487538466 0.0 g
57072.1191074 57070.1259416 1.27 1.27 86.0 104.244560978 85.4524399078 25.0171126165 0.650017650182 1.86019400725 g
57072.1883494 57070.1259416 1.18 1.27 86.0 13.3771208797 78.314272775 27.2463394994 2.08991480574 2.75366050065 g
57072.2571045 57070.1259416 1.33 1.27 86.0 53.1984317025 77.3451967498 25.7474990546 0.974642125744 4.25250094544 g
57072.3260658 57070.1259416 1.94 1.27 86.0 104.356384429 78.3743864131 25.0159485682 0.608231655803 1.50961619672 g
57073.0488678 57070.1259416 1.73 1.27 86.0 72.304910593 103.590916372 25.4143266445 0.965219356843 4.58567335548 g
57074.0466056 57070.1259416 1.73 1.27 86.0 134.456266117 126.121140515 24.7407935115 0.718389277189 3.01917224506 g
57075.0440347 57070.1259416 1.72 1.27 86.0 61.6976426237 107.451349441 25.5865747016 1.09500210909 4.41342529838 g
57075.1116362 57070.1259416 1.27 1.27 86.0 -49.0092256543 98.7068898198 30.0 4.17859381435 0.0 g
57075.179325 57070.1259416 1.18 1.27 86.0 35.5583570562 84.3302813069 26.1848919117 1.31959085292 3.81510808827 g
57075.2479373 57070.1259416 1.32 1.27 86.0 91.8922497697 100.354900148 25.1540489172 0.801452564274 4.84595108278 g
57077.0286277 57070.0582254 1.85 1.72 86.0 272.148578446 208.060037038 24.0972309527 0.616559693449 1.57006420641 r
57077.0963837 57070.1259416 1.31 1.27 86.0 189.145152068 111.076809037 24.3702580919 0.501618107607 0.96080063186 g
57077.1573194 57070.1259416 1.18 1.27 86.0 101.72218959 75.6390286748 25.0437068784 0.603607408341 1.47763869801 g
57080.0396391 57070.0582254 1.62 1.72 86.0 1239.45012586 190.020582242 22.4511734883 0.154865511395 0.180689423969 r
57080.0877527 57070.1259416 1.31 1.27 86.0 687.714790736 185.04529943 22.968725216 0.258716284097 0.340314594015 g
57080.15544 57070.1259416 1.18 1.27 86.0 1309.38804894 135.094037339 22.2695751963 0.106609469027 0.118228816342 g
57089.2201005 57070.0582254 1.37 1.72 86.0 1414.23208514 229.804637714 22.3079444131 0.163477070377 0.192530557516 r
57090.2200634 57070.1259416 1.39 1.27 86.0 1841.88629616 176.471402686 21.8990890864 0.0993382971808 0.109350931378 g
57095.0872492 57070.0582254 1.2 1.72 86.0 1415.59790642 154.250590655 22.3068963489 0.11229457468 0.125263060861 r
57095.1577775 57070.1259416 1.21 1.27 86.0 1351.24599656 77.7006314533 22.2354100775 0.0607039692423 0.0643000015415 g
