# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15bp, field: Blind15A_05, CCD: N17, ipix: 331, jpix: 1469, RA: 09:13:37.72, DEC: 01:15:33.53
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.1977226 57070.112565 1.19 1.27 86.0 -217.506398476 80.0951199196 30.0 0.0 0.0 g
57070.2663597 57070.112565 1.41 1.27 86.0 -303.645972889 81.9770538047 30.0 0.0 0.0 g
57071.0413614 57070.112565 1.73 1.27 86.0 -251.735226018 83.9923676484 30.0 0.0 0.0 g
57071.109123 57070.112565 1.27 1.27 86.0 -251.999272699 81.7077015646 30.0 0.0 0.0 g
57071.1767768 57070.112565 1.18 1.27 86.0 -235.376294116 81.0074879599 30.0 0.0 0.0 g
57071.2449405 57070.112565 1.32 1.27 86.0 -305.234308123 81.9028261474 30.0 0.0 0.0 g
57071.3155583 57070.112565 1.93 1.27 86.0 -306.577158484 84.362448731 30.0 0.0 0.0 g
57072.0380411 57070.112565 1.74 1.27 86.0 -261.824338356 101.795798192 30.0 0.0 0.0 g
57072.1057728 57070.112565 1.28 1.27 86.0 -125.723259876 91.8902546355 30.0 0.0 0.0 g
57072.1746915 57070.112565 1.18 1.27 86.0 -171.874501571 82.0315452594 30.0 0.0 0.0 g
57072.2432565 57070.112565 1.32 1.27 86.0 -259.256194666 82.5202080947 30.0 0.0 0.0 g
57072.3125484 57070.112565 1.92 1.27 86.0 -391.867174243 87.3371691296 30.0 0.0 0.0 g
57073.035524 57070.112565 1.74 1.27 86.0 -409.51534536 110.26211553 30.0 0.0 0.0 g
57073.1032257 57070.112565 1.28 1.27 86.0 -361.949969372 85.4311490543 30.0 0.0 0.0 g
57074.0333764 57070.112565 1.73 1.27 86.0 -413.154460697 130.489204935 30.0 0.0 0.0 g
57075.0306619 57070.112565 1.73 1.27 86.0 -323.436670092 107.177841599 30.0 0.0 0.0 g
57075.0982671 57070.112565 1.27 1.27 86.0 -104.823631032 119.906763006 30.0 2.97398269954 0.0 g
57075.1655768 57070.112565 1.18 1.27 86.0 -353.470328468 82.6210082197 30.0 0.0 0.0 g
57075.2344273 57070.112565 1.32 1.27 86.0 -360.326624868 95.9833421051 30.0 0.0 0.0 g
57075.3030519 57070.112565 1.9 1.27 86.0 -411.499264544 120.319136986 30.0 0.0 0.0 g
57077.015313 57070.0445174 1.86 1.73 86.0 -71.5998975298 220.331301563 30.0 5.33776056621 0.0 r
57077.08304 57070.112565 1.31 1.27 86.0 -104.845196453 103.325728788 30.0 0.0 0.0 g
57077.1436587 57070.112565 1.18 1.27 86.0 -93.4243050008 87.7241805927 30.0 0.0 0.0 g
57080.0261138 57070.0445174 1.63 1.73 86.0 189.935490343 233.022435776 24.3967308224 0.869227614102 5.60326917763 r
57080.0744115 57070.112565 1.31 1.27 86.0 -64.7136970524 185.981026189 30.0 5.23711340318 0.0 g
57080.1417945 57070.112565 1.18 1.27 86.0 -16.7283094482 148.122670882 30.0 5.32419569342 0.0 g
57090.2092909 57070.112565 1.4 1.27 86.0 1876.02850699 165.300379735 21.7891475447 0.0916838697982 0.100146093488 g
57095.0736657 57070.0445174 1.2 1.73 86.0 3299.49163426 144.815613274 21.2971285492 0.0466371348707 0.0487306671987 r
57095.1480324 57070.112565 1.22 1.27 86.0 2705.78510091 90.194542735 21.3915128755 0.0356017602763 0.0368088502309 g
