# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15bq, field: Blind15A_07, CCD: N27, ipix: 1641, jpix: 922, RA: 09:18:38.08, DEC: -01:01:47.21
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2004173 57070.1152628 1.16 1.25 86.0 -8.27616316215 75.0645532829 30.0 4.70550631009 0.0 g
57070.2690565 57070.1152628 1.37 1.25 86.0 27.055068469 74.5969926006 26.2756245347 1.43716887837 3.72437546527 g
57071.044058 57070.1152628 1.69 1.25 86.0 21.6513462392 76.2260360482 26.5175338653 1.63799360145 3.48246613471 g
57071.1118209 57070.1152628 1.25 1.25 86.0 108.273246975 74.3962765944 24.7699432258 0.567862337904 1.26154149122 g
57071.1794721 57070.1152628 1.15 1.25 86.0 16.9555001346 74.2115237014 26.7829696165 1.82631793192 3.2170303835 g
57071.2477212 57070.1152628 1.29 1.25 86.0 102.710545459 74.5457715226 24.8272085391 0.59246671429 1.40477191469 g
57071.3182669 57070.1152628 1.86 1.25 86.0 39.7124076691 78.1740283977 25.8589305828 1.18134405059 4.14106941716 g
57072.0407293 57070.1152628 1.69 1.25 86.0 -41.1265240576 94.0268360846 30.0 4.4523994561 0.0 g
57072.1084477 57070.1152628 1.25 1.25 86.0 62.9361647837 74.7907019859 25.3589954425 0.850295983283 4.64100455754 g
57072.1773785 57070.1152628 1.15 1.25 86.0 25.8086892723 74.0389201093 26.3268312559 1.46892930566 3.67316874413 g
57072.2459911 57070.1152628 1.29 1.25 86.0 38.6559561299 78.4905042808 25.8882050788 1.2037818779 4.11179492122 g
57072.3152287 57070.1152628 1.85 1.25 86.0 -2.19714154617 76.6710429968 30.0 4.82376413625 0.0 g
57073.0382042 57070.1152628 1.69 1.25 86.0 51.669947269 101.727509733 25.5731510823 1.18145035419 4.42684891772 g
57074.036049 57070.1152628 1.68 1.25 86.0 8.69243101906 119.375880391 27.5083929958 2.9207510761 2.49160700419 g
57075.0333523 57070.1152628 1.68 1.25 86.0 83.5982941003 110.174354556 25.0507525897 0.91273765068 4.94924741027 g
57075.1009618 57070.1152628 1.25 1.25 86.0 11.623193081 103.163626632 27.1929324975 2.4864164281 2.80706750247 g
57075.1683354 57070.1152628 1.15 1.25 86.0 84.3626465224 79.9984851335 25.0408706395 0.724122318389 3.21562348198 g
57075.2371175 57070.1152628 1.29 1.25 86.0 -9.15505944256 96.5842184714 30.0 4.99789462434 0.0 g
57075.3057461 57070.1152628 1.84 1.25 86.0 -0.657843591352 107.880346618 30.0 5.21946872509 0.0 g
57077.0180013 57070.0472192 1.81 1.68 86.0 68.4874545652 207.973056488 25.4392185648 1.51505520293 4.56078143522 r
57077.0857227 57070.1152628 1.28 1.25 86.0 -36.978777427 91.2628865137 30.0 4.48043565829 0.0 g
57077.146451 57070.1152628 1.16 1.25 86.0 -15.2585400089 78.0920443389 30.0 4.6392320762 0.0 g
57080.0288123 57070.0472192 1.59 1.68 86.0 358.81935796 204.056539262 23.6410564662 0.488841968652 0.9130230846 r
57080.0770922 57070.1152628 1.28 1.25 86.0 123.349013823 171.125975071 24.628406924 0.944781831065 5.37159307601 g
57080.1445979 57070.1152628 1.15 1.25 86.0 85.9219983702 137.88718084 25.0209852049 1.03943381311 4.97901479508 g
57089.2123373 57070.0472192 1.35 1.68 86.0 1480.5648363 210.62402934 22.1021775516 0.144411700242 0.166609880013 r
57090.2123458 57070.1152628 1.36 1.25 86.0 712.510109223 158.738500636 22.7242685517 0.218377668962 0.273650861281 g
57095.0764132 57070.0472192 1.18 1.68 86.0 1528.62028107 139.279983225 22.0674970848 0.094676150456 0.103727461753 r
57095.1508398 57070.1152628 1.19 1.25 86.0 800.473882309 77.1817095364 22.5978782121 0.0999423944895 0.110083502717 g
