# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15br, field: Blind15A_12, CCD: N20, ipix: 4014, jpix: 424, RA: 09:25:27.37, DEC: -04:49:42.37
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2072152 57070.121937 1.12 1.2 86.0 80.3043031775 74.5278644986 25.3343990832 0.712805940172 2.85769662651 g
57070.275854 57070.121937 1.32 1.2 86.0 75.3799652123 76.304760838 25.4031062964 0.759214797142 4.59689370361 g
57071.0507509 57070.121937 1.59 1.2 86.0 38.321198426 77.5032702658 26.1376484221 1.20090308575 3.86235157787 g
57071.1185064 57070.121937 1.2 1.2 86.0 43.8477089786 76.8937954991 25.9913788616 1.09977419095 4.00862113844 g
57071.1861697 57070.121937 1.11 1.2 86.0 2.41881639308 76.583002922 29.1372388699 3.78508547345 0.862761130127 g
57071.2546678 57070.121937 1.24 1.2 86.0 107.305235575 76.1685313019 25.0196938473 0.582382662926 1.34337067609 g
57071.32507 57070.121937 1.75 1.2 86.0 18.2867981432 77.9251542736 26.9409019506 1.80272839203 3.05909804941 g
57072.0474274 57070.121937 1.6 1.2 86.0 8.63453905861 83.8786958812 27.7556482321 2.57491177236 2.24435176786 g
57072.1151332 57070.121937 1.2 1.2 86.0 152.016955897 84.2994655931 24.641516049 0.479004674775 0.877977943526 g
57072.1841857 57070.121937 1.11 1.2 86.0 75.4107213857 79.2731864207 25.4026633898 0.780030099721 4.59733661016 g
57072.2529308 57070.121937 1.24 1.2 86.0 64.1525158799 76.4309151545 25.578211896 0.851801113797 4.421788104 g
57072.3220579 57070.121937 1.75 1.2 86.0 79.8404028557 77.2872381473 25.340689329 0.735074676875 3.73785971737 g
57073.0448694 57070.121937 1.6 1.2 86.0 145.615584606 94.1672013026 24.6882264828 0.541525359007 1.12959031483 g
57074.0426536 57070.121937 1.59 1.2 86.0 77.1597137907 114.527251042 25.377769608 0.988004931968 4.622230392 g
57075.0400509 57070.121937 1.59 1.2 86.0 36.8530793919 92.8286274502 26.1800616712 1.36601233804 3.81993832877 g
57075.107637 57070.121937 1.2 1.2 86.0 17.1111605681 94.3933369638 27.0130474615 2.03503229586 2.98695253853 g
57075.1751644 57070.121937 1.11 1.2 86.0 85.4376738864 80.4009949539 25.2671225886 0.720090968205 3.07376287137 g
57075.2439478 57070.121937 1.24 1.2 86.0 2.1918511805 90.5715718788 29.244218469 4.06641425625 0.755781531 g
57075.3125409 57070.121937 1.73 1.2 86.0 -18.1834956945 116.05835868 30.0 4.88043178964 0.0 g
57077.0246496 57070.0540916 1.7 1.59 86.0 -38.6161056647 190.130604494 30.0 5.30388935597 0.0 r
57077.0923897 57070.121937 1.23 1.2 86.0 45.0212208236 90.1831719587 25.9627029595 1.19393383653 4.03729704045 g
57077.1533081 57070.121937 1.11 1.2 86.0 62.4103961056 77.6454331697 25.6081037807 0.877610625943 4.3918962193 g
57080.0356356 57070.0540916 1.51 1.59 86.0 -161.595987494 175.580726189 30.0 2.71688976184 0.0 r
57080.0837553 57070.121937 1.23 1.2 86.0 430.47763943 199.303272758 23.5113696342 0.413097240185 0.675027302603 g
57080.1514506 57070.121937 1.11 1.2 86.0 90.1097521313 149.116681027 25.2093166405 1.06009342494 4.79068335954 g
57089.2154376 57070.0540916 1.28 1.59 86.0 1403.76488863 190.754645438 22.2790101893 0.138338671333 0.158574768146 r
57090.2154364 57070.121937 1.29 1.2 86.0 1767.99011454 167.690785412 21.9775465471 0.098384830884 0.108196523036 g
57095.0832538 57070.0540916 1.13 1.59 86.0 1588.09220462 129.935350012 22.1450568432 0.0853860275953 0.0926786755097 r
57095.1536132 57070.121937 1.14 1.2 86.0 1482.15178677 82.0175677895 22.1690144233 0.0584777274238 0.0618075302611 g
