# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15bs, field: Blind15A_14, CCD: S8, ipix: 693, jpix: 678, RA: 09:23:52.48, DEC: -00:01:20.75
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2099963 57070.1246159 1.17 1.24 86.0 -71.235269999 99.5011958625 30.0 3.52991191076 0.0 g
57070.2786409 57070.1246159 1.39 1.24 86.0 158.936241588 99.9934174427 24.5951887808 0.5298971513 1.07697999605 g
57071.0534141 57070.1246159 1.65 1.24 86.0 53.9791615116 95.9873606884 25.7676807928 1.10942046486 4.23231920723 g
57071.12117 57070.1246159 1.24 1.24 86.0 80.0746452306 95.2742756726 25.3395085701 0.851020185933 4.6604914299 g
57071.1888197 57070.1246159 1.15 1.24 86.0 41.9507831694 96.4952503609 26.0413959457 1.29635111192 3.95860405435 g
57071.2574727 57070.1246159 1.3 1.24 86.0 98.3540947715 97.1732155419 25.1162650141 0.746037451343 4.80146740421 g
57071.2588164 57070.0568767 1.3 1.65 86.0 -130.306539111 154.42586598 30.0 3.26466682988 0.0 r
57071.3277374 57070.1246159 1.9 1.24 86.0 177.317921173 92.1764045881 24.4763645503 0.45449248596 0.796528123296 g
57072.0501682 57070.1246159 1.66 1.24 86.0 40.0022949325 112.772332922 26.0930338593 1.45491581741 3.90696614071 g
57072.1177877 57070.1246159 1.24 1.24 86.0 81.975099958 99.9744797211 25.3140412408 0.865672754385 4.68595875916 g
57072.1869637 57070.1246159 1.15 1.24 86.0 17.0820292618 100.485530745 27.0168974744 2.09437010869 2.9831025256 g
57072.2557213 57070.1246159 1.3 1.24 86.0 66.0020019858 95.7161061655 25.549353356 0.973003858194 4.45064664401 g
57072.324745 57070.1246159 1.9 1.24 86.0 112.638771089 96.5993497649 24.9690263691 0.672382268582 2.11624801997 g
57073.0475212 57070.1246159 1.66 1.24 86.0 -130.379489049 122.384884229 30.0 0.0 0.0 g
57075.0427147 57070.1246159 1.65 1.24 86.0 -27.7515332376 125.101321749 30.0 4.87259140282 0.0 g
57075.1103064 57070.1246159 1.24 1.24 86.0 22.9829758448 112.124940309 26.6947304766 1.92318633762 3.30526952342 g
57075.1779393 57070.1246159 1.15 1.24 86.0 90.1343195809 106.967048779 25.2110206666 0.84949863682 4.78897933343 g
57075.2466073 57070.1246159 1.3 1.24 86.0 118.441619404 119.292469951 24.9144852864 0.756467810509 5.08551471361 g
57075.3152493 57070.1246159 1.88 1.24 86.0 -132.087074092 131.83320601 30.0 0.0 0.0 g
57077.0273001 57070.0568767 1.77 1.65 86.0 -85.3496374448 204.618014838 30.0 5.00006714904 0.0 r
57077.0950469 57070.1246159 1.27 1.24 86.0 -19.9517277273 119.517511487 30.0 4.8970291638 0.0 g
57077.1559806 57070.1246159 1.15 1.24 86.0 30.9506955276 99.630690635 26.3715700957 1.56302715371 3.62842990434 g
57080.0383054 57070.0568767 1.56 1.65 86.0 -28.1978031711 189.393440507 30.0 5.32713708116 0.0 r
57080.0864167 57070.1246159 1.27 1.24 86.0 -22.7871057184 190.376472516 30.0 5.46237002207 0.0 g
57080.1541015 57070.1246159 1.15 1.24 86.0 -6.63776988879 165.216164532 30.0 5.40236391436 0.0 g
57089.2184874 57070.0568767 1.35 1.65 86.0 12333.5402678 237.748518991 19.9635267379 0.0207301175112 0.0211336375901 r
57090.2185025 57070.1246159 1.36 1.24 86.0 13006.2687602 186.591197246 19.8128643182 0.0154655710852 0.0156890547943 g
57095.0859134 57070.0568767 1.17 1.65 86.0 27175.5295942 193.254012268 19.1058010873 0.00769369870176 0.00774860678805 r
57095.1563902 57070.1246159 1.19 1.24 86.0 24594.677703 138.240766327 19.1211432886 0.006085575198 0.00611987733475 g
