# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15bw, field: Blind15A_21, CCD: S15, ipix: 3826, jpix: 209, RA: 09:49:07.73, DEC: -05:49:35.26
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2194511 57070.133993 1.1 1.19 86.0 36.7032735771 74.218887648 26.116484126 1.20078380501 3.88351587401 g
57070.288208 57070.133993 1.27 1.19 86.0 69.6460268674 77.937521828 25.421005263 0.815354007106 4.57899473701 g
57070.3351981 57070.133993 1.61 1.19 86.0 42.4183122573 73.9281065953 25.9593626661 1.0954990886 4.04063733386 g
57071.0628637 57070.133993 1.59 1.19 86.0 -50.6000110498 75.4417065568 30.0 3.45970695735 0.0 g
57071.1305487 57070.133993 1.19 1.19 86.0 3.4253889541 74.3185501962 28.6914713958 3.38989162221 1.30852860418 g
57071.1982768 57070.133993 1.09 1.19 86.0 29.5945082289 74.0802495871 26.3502183088 1.36115475454 3.64978169116 g
57071.2684139 57070.133993 1.21 1.19 86.0 78.011579307 74.6448595453 25.2978484529 0.728890142325 3.41238025474 g
57071.3374218 57070.133993 1.66 1.19 86.0 72.4925614354 74.749176804 25.3775125149 0.769343726291 4.6224874851 g
57072.059526 57070.133993 1.6 1.19 86.0 132.488778942 88.8297288577 24.7227983843 0.557096589702 1.20526203811 g
57072.1271633 57070.133993 1.19 1.19 86.0 62.2808953341 75.9978488541 25.54235901 0.866001448729 4.45764099001 g
57072.1965412 57070.133993 1.09 1.19 86.0 7.86136366502 74.5012643753 27.7895014103 2.55058077149 2.21049858967 g
57072.2652032 57070.133993 1.2 1.19 86.0 45.530714218 74.2830107669 25.8824849708 1.05050526895 4.11751502921 g
57072.3344124 57070.133993 1.66 1.19 86.0 38.2591296392 71.8961095916 26.0714084131 1.14817518001 3.92859158688 g
57073.0569635 57070.133993 1.6 1.19 86.0 13.8546345062 92.696649308 27.1742584448 2.21490903373 2.82574155517 g
57074.0546189 57070.133993 1.59 1.19 86.0 198.000787697 128.432062604 24.2865788331 0.542817347878 1.13563218348 g
57075.0522554 57070.133993 1.59 1.19 86.0 -72.1762163285 133.239853253 30.0 4.43621053972 0.0 g
57075.1196368 57070.133993 1.19 1.19 86.0 97.212322208 112.041081634 25.0589428339 0.832378033841 4.94105716609 g
57075.1875338 57070.133993 1.09 1.19 86.0 74.0565969811 76.3690741738 25.354336749 0.769395515537 4.64566325101 g
57075.2562616 57070.133993 1.2 1.19 86.0 76.8744583049 123.72063827 25.3137909568 1.04134561052 4.68620904325 g
57075.3248966 57070.133993 1.65 1.19 86.0 -107.792636415 113.611435136 30.0 1.88383720854 0.0 g
57077.0367313 57070.0663926 1.7 1.59 86.0 219.942675115 178.347418927 24.2814723707 0.644725005333 1.80816424872 r
57077.1044268 57070.133993 1.22 1.19 86.0 135.658240754 86.1092619116 24.6971306763 0.533629312885 1.09352868056 g
57077.1656386 57070.133993 1.1 1.19 86.0 123.13209787 77.5394730417 24.802317931 0.530286429025 1.07869170754 g
57080.043858 57070.0663926 1.54 1.59 86.0 481.17926161 178.970910887 23.4314788747 0.343339599317 0.50500110158 r
57080.0958033 57070.133993 1.22 1.19 86.0 98.9691920192 160.555224315 25.0394960663 1.0466954957 4.96050393368 g
57080.1636996 57070.133993 1.09 1.19 86.0 691.719533938 137.820210954 22.9284210276 0.197267896447 0.241248014671 g
57089.2248515 57070.0663926 1.23 1.59 86.0 1391.24859123 186.301299554 22.2787342842 0.136445913322 0.156091719273 r
57090.224921 57070.133993 1.24 1.19 86.0 1416.73484725 157.091048451 22.1500246873 0.114170276458 0.127602058343 g
57095.1133133 57070.0663926 1.1 1.59 86.0 2107.82956265 129.765476055 21.8276573999 0.0648649978972 0.0689878330675 r
57095.1633081 57070.133993 1.11 1.19 86.0 1181.67076095 78.7029797445 22.3470049042 0.0700071417859 0.0748341577713 g
