# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15bz, field: Blind15A_26, CCD: N10, ipix: 2660, jpix: 1236, RA: 10:00:01.91, DEC: 01:57:03.15
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2262864 57070.1406759 1.19 1.29 86.0 -62.2117069561 83.2467913005 30.0 3.21911451626 0.0 g
57070.2949166 57070.1406759 1.4 1.29 86.0 75.6369590331 84.1706350719 25.3914109786 0.812158383652 4.60858902142 g
57070.341931 57070.1406759 1.81 1.29 86.0 -21.4201425255 84.9230209349 30.0 4.41873739965 0.0 g
57071.0696431 57070.1406759 1.8 1.29 86.0 25.579917693 86.9216910602 26.5684982713 1.60814897521 3.43150172874 g
57071.1372445 57070.1406759 1.3 1.29 86.0 9.71695889532 83.8373768725 27.6194202142 2.45883388516 2.38057978584 g
57071.2050152 57070.1406759 1.18 1.29 86.0 -61.7538034348 83.0544536602 30.0 3.23273602427 0.0 g
57071.2752425 57070.1406759 1.32 1.29 86.0 16.3583519707 84.0702671677 27.0538972572 1.97029485743 2.94610274277 g
57071.3442543 57070.1406759 1.89 1.29 86.0 -37.2846595457 85.2598466192 30.0 4.11429556412 0.0 g
57072.0663697 57070.1406759 1.81 1.29 86.0 -65.9170321236 86.2669912547 30.0 3.1831627253 0.0 g
57072.1338538 57070.1406759 1.3 1.29 86.0 -54.9145974382 85.5342154978 30.0 3.62675329471 0.0 g
57072.2033896 57070.1406759 1.18 1.29 86.0 43.5390852589 84.8874684856 25.991047877 1.17443882058 4.00895212295 g
57072.2721342 57070.1406759 1.31 1.29 86.0 -0.0149079766801 83.5712747656 30.0 4.71670274104 0.0 g
57072.3413305 57070.1406759 1.88 1.29 86.0 16.6779728868 84.8604760275 27.0328879694 1.96121815357 2.96711203057 g
57073.0637392 57070.1406759 1.81 1.29 86.0 -33.054228787 111.488250304 30.0 4.64801507937 0.0 g
57074.0612409 57070.1406759 1.8 1.29 86.0 -203.201664747 122.433057558 30.0 0.0 0.0 g
57075.0589759 57070.1406759 1.8 1.29 86.0 -36.328499289 116.374810216 30.0 4.67010717565 0.0 g
57075.1263284 57070.1406759 1.3 1.29 86.0 92.1514238246 101.664647684 25.1769910035 0.807219341692 4.82300899654 g
57075.1944674 57070.1406759 1.18 1.29 86.0 -80.2408059219 84.9254891856 30.0 1.58845445467 0.0 g
57075.2631529 57070.1406759 1.31 1.29 86.0 -65.4740702214 118.250551974 30.0 4.2178549604 0.0 g
57075.3316381 57070.1406759 1.86 1.29 86.0 -117.099868725 111.919543288 30.0 0.0 0.0 g
57077.0435153 57070.0730778 1.94 1.79 86.0 -37.7728534615 206.629585339 30.0 5.35154982065 0.0 r
57077.1110959 57070.1406759 1.34 1.29 86.0 152.178674331 97.2212339673 24.6323616368 0.536356232327 1.10581824804 g
57077.1723745 57070.1406759 1.19 1.29 86.0 59.0348143238 86.3710496029 25.660475624 0.978684298664 4.33952437598 g
57080.0480835 57070.0730778 1.76 1.79 86.0 855.329755973 212.686369083 22.8869121758 0.241110572164 0.310408845285 r
57080.1024985 57070.1406759 1.34 1.29 86.0 646.628874265 173.761369986 23.0616083944 0.258413484451 0.339789058532 g
57080.1706174 57070.1406759 1.18 1.29 86.0 501.628009137 130.900530001 23.3372916832 0.251745868273 0.328317499714 g
57089.2295746 57070.0730778 1.33 1.79 86.0 1979.73062054 222.112386514 21.9757308772 0.115450624657 0.129203877369 r
57090.2297045 57070.1406759 1.34 1.29 86.0 1319.27746906 177.291946419 22.2874057643 0.136901800096 0.156688868192 g
57095.1176146 57070.0730778 1.19 1.79 86.0 2025.84702454 146.618175431 21.9507295084 0.0758654511735 0.0815674424 r
57095.1700511 57070.1406759 1.21 1.29 86.0 1287.05519877 87.0471424137 22.3142531952 0.0710547659738 0.0760325286054 g
