# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15cc, field: Blind15A_41, CCD: N26, ipix: 753, jpix: 638, RA: 10:27:46.37, DEC: -07:13:41.19
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2466948 57070.160744 1.1 1.18 86.0 42.7576063158 68.4897843377 26.0127126675 1.03819112246 3.98728733254 g
57070.3155476 57070.160744 1.27 1.18 86.0 -2.75469072789 74.2159931345 30.0 4.54493118965 0.0 g
57070.3624749 57070.160744 1.61 1.18 86.0 29.997826294 66.2771622863 26.3975216632 1.26605922455 3.6024783368 g
57071.0898097 57070.160744 1.59 1.18 86.0 119.402380512 66.3491718574 24.8977136647 0.479798666472 0.88075332557 g
57071.1572817 57070.160744 1.19 1.18 86.0 70.8153878097 70.1975349453 25.4649270335 0.747828191008 5.14810643352 g
57071.2255042 57070.160744 1.09 1.18 86.0 131.799973906 69.6956566082 24.7904578174 0.460875771284 0.816983830642 g
57071.2957509 57070.160744 1.21 1.18 86.0 88.9472662624 69.2493528094 25.217414616 0.625161481989 1.63678094977 g
57071.3646235 57070.160744 1.67 1.18 86.0 64.9657175388 65.9234014511 25.5585355292 0.760548262378 4.44146447075 g
57072.0866109 57070.160744 1.59 1.18 86.0 80.7067681562 74.0633215746 25.3229712365 0.706942694331 2.71129127338 g
57072.1552203 57070.160744 1.18 1.18 86.0 18.609108699 69.6407882655 26.9159321964 1.68997158581 3.08406780359 g
57072.2236588 57070.160744 1.09 1.18 86.0 87.5293327565 70.1388313256 25.2348620836 0.638975982072 1.7546037834 g
57072.2926451 57070.160744 1.2 1.18 86.0 103.878362494 69.4712023102 25.0489333908 0.555994151909 1.19969066397 g
57072.361653 57070.160744 1.66 1.18 86.0 173.056868993 66.3924272885 24.494774023 0.35256180748 0.525422943724 g
57073.0839632 57070.160744 1.59 1.18 86.0 52.3447010248 81.1223651361 25.7930643191 1.01625347604 4.2069356809 g
57075.0790603 57070.160744 1.58 1.18 86.0 135.464493095 83.9823073317 24.7606824376 0.523759442299 1.05042124721 g
57075.1463748 57070.160744 1.19 1.18 86.0 15.0970324113 94.7297943989 27.1430171596 2.15454212109 2.85698284044 g
57075.2837214 57070.160744 1.2 1.18 86.0 166.07415871 93.8241949312 24.5394909754 0.486253668311 0.903661068474 g
57075.3522402 57070.160744 1.65 1.18 86.0 30.4917307923 112.831830404 26.3797909362 1.68033878467 3.62020906385 g
57077.0638144 57070.0933289 1.69 1.58 86.0 145.768565774 185.609638721 24.8090864262 0.891650149315 5.19091357377 r
57077.1311331 57070.160744 1.22 1.18 86.0 240.515545869 79.6053665789 24.1373882468 0.310427233993 0.436399084416 g
57077.1927799 57070.160744 1.1 1.18 86.0 125.014281603 72.0736504001 24.8478470542 0.494251007577 0.932926286311 g
57078.1962165 57070.160744 1.09 1.18 86.0 204.717209884 79.1952997899 24.3123602434 0.355075437109 0.531087036212 g
57080.1225093 57070.160744 1.22 1.18 86.0 -38.3388175964 158.098118192 30.0 5.10552699946 0.0 g
57080.1909741 57070.160744 1.09 1.18 86.0 258.224756037 92.9807496522 24.0602514386 0.333908599342 0.484680399428 g
57089.2481592 57070.0933289 1.21 1.58 86.0 880.419922715 293.076806306 22.8565214744 0.311980054756 0.439494945629 r
57090.2483062 57070.160744 1.22 1.18 86.0 1116.90775961 161.376723284 22.4702028577 0.1465255222 0.169431275888 g
57095.1338927 57070.0933289 1.1 1.58 86.0 1932.15739335 126.588834651 22.0031398753 0.0689007884144 0.0735712939132 r
57095.1906423 57070.160744 1.11 1.18 86.0 1309.23850165 77.6076276171 22.2976992071 0.0625237757841 0.0663455033061 g
