# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15cd, field: Blind15A_49, CCD: N20, ipix: 3979, jpix: 683, RA: 10:29:51.27, DEC: -04:44:20.04
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2575659 57070.1889488 1.13 1.14 86.0 94.5253366548 78.4470886183 25.1693755461 0.656071604948 1.92327377156 g
57070.3265598 57070.1889488 1.35 1.14 86.0 12.6887414099 86.0531495044 27.3496997612 2.22770723241 2.65030023882 g
57070.37342 57070.1889488 1.77 1.14 86.0 90.1640876198 84.1507155438 25.2206621472 0.715751693658 2.93978878957 g
57071.1006198 57070.1889488 1.55 1.14 86.0 26.1953378232 78.4917046618 26.5626861191 1.50417231775 3.43731388093 g
57071.167966 57070.1889488 1.19 1.14 86.0 85.4912780676 75.771697765 25.2784416039 0.689032150012 2.36068574367 g
57071.2363844 57070.1889488 1.11 1.14 86.0 -68.7467165127 75.775102298 30.0 2.00889285121 0.0 g
57071.3067544 57070.1889488 1.27 1.14 86.0 108.221290841 77.1583601829 25.0224643536 0.584373376163 1.3551757065 g
57071.3753081 57070.1889488 1.84 1.14 86.0 91.0258431463 74.0572041568 25.2103343522 0.646344416609 1.82379425072 g
57072.0972817 57070.1889488 1.55 1.14 86.0 -21.288061856 90.6616501973 30.0 4.49473926918 0.0 g
57072.1658917 57070.1889488 1.18 1.14 86.0 61.3735258627 76.6512717234 25.6382934434 0.87994011257 4.36170655662 g
57072.2346584 57070.1889488 1.11 1.14 86.0 -5.04949010723 77.0111520119 30.0 4.53450683319 0.0 g
57072.3036265 57070.1889488 1.26 1.14 86.0 50.8205397607 78.4873145568 25.8431479447 1.01396407979 4.15685205525 g
57072.3725058 57070.1889488 1.83 1.14 86.0 -40.107822005 78.0753720484 30.0 3.840285307 0.0 g
57073.0946888 57070.1889488 1.55 1.14 86.0 -61.2432515266 83.1541172439 30.0 3.24340271502 0.0 g
57075.0897401 57070.1889488 1.55 1.14 86.0 59.4194868241 93.8332375629 25.6734238864 1.02869826762 4.32657611365 g
57075.157039 57070.1889488 1.19 1.14 86.0 70.9847089843 92.8157665034 25.4803341126 0.907875879795 4.51966588739 g
57075.2256573 57070.1889488 1.11 1.14 86.0 -7.70082136319 90.2115608918 30.0 4.68303007098 0.0 g
57075.2944351 57070.1889488 1.26 1.14 86.0 41.7206892825 109.410994471 26.0573674407 1.39751011472 3.94263255926 g
57075.3630387 57070.1889488 1.82 1.14 86.0 -8.79973327955 127.646343509 30.0 5.07922086987 0.0 g
57077.074538 57070.1040433 1.64 1.54 86.0 -198.587306792 176.924462336 30.0 0.0 0.0 r
57077.2034114 57070.1889488 1.11 1.14 86.0 61.7210177517 84.165673017 25.6321634312 0.933956485698 4.36783656882 g
57078.203057 57070.1889488 1.11 1.14 86.0 -45.2701494508 81.5663390102 30.0 3.79140645788 0.0 g
57080.0672421 57070.1040433 1.63 1.54 86.0 425.576908549 257.927825404 23.5798009894 0.514408678426 1.01144218201 r
57080.1332244 57070.1889488 1.22 1.14 86.0 225.38079255 167.169464452 24.2259538737 0.602445910694 1.46977348469 g
57080.2017908 57070.1889488 1.11 1.14 86.0 -90.4644858404 112.736215221 30.0 3.26113872422 0.0 g
57089.2575778 57070.1040433 1.27 1.54 86.0 1254.76782094 316.437757457 22.4058376969 0.244174099655 0.3155193536 r
57090.2575391 57070.1889488 1.28 1.14 86.0 1211.92065039 208.489181397 22.399560664 0.172348710218 0.20496617168 g
57095.1420388 57070.1040433 1.12 1.54 86.0 1535.21126117 127.580102987 22.1868257596 0.0866740322379 0.0941981898516 r
57095.2015731 57070.1889488 1.15 1.14 86.0 738.292042265 87.1708192284 22.9376756597 0.121173378166 0.136415840349 g
