# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15cf, field: Blind15A_40, CCD: N16, ipix: 1208, jpix: 1725, RA: 10:19:35.59, DEC: -06:58:44.44
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2452939 57070.1593888 1.1 1.17 86.0 -102.900069035 89.7055511327 30.0 0.0 0.0 g
57070.3141609 57070.1593888 1.3 1.17 86.0 -273.734374879 94.0372533849 30.0 0.0 0.0 g
57070.3611263 57070.1593888 1.66 1.17 86.0 -230.615555168 91.0893305015 30.0 0.0 0.0 g
57071.0884497 57070.1593888 1.54 1.17 86.0 -45.5903619891 84.5737738841 30.0 3.9349534885 0.0 g
57071.1559281 57070.1593888 1.17 1.17 86.0 -63.1754096429 85.5567969839 30.0 3.33247138031 0.0 g
57071.2240972 57070.1593888 1.09 1.17 86.0 -271.065218462 84.5319798106 30.0 0.0 0.0 g
57071.2943927 57070.1593888 1.22 1.17 86.0 -374.914589973 86.5764873631 30.0 0.0 0.0 g
57071.3632191 57070.1593888 1.72 1.17 86.0 -401.116975286 86.4734240914 30.0 0.0 0.0 g
57072.0852101 57070.1593888 1.55 1.17 86.0 125.078771325 96.7223862285 24.799287112 0.621950504811 1.61133185184 g
57072.152555 57070.1593888 1.17 1.17 86.0 -25.8406110571 87.1700909414 30.0 4.42692707587 0.0 g
57072.1538727 57070.0919834 1.17 1.54 86.0 -21.3069622543 136.684956563 30.0 4.99306133455 0.0 r
57072.2223061 57070.1593888 1.09 1.17 86.0 36.9028685909 86.8916355203 26.1245958113 1.31410309444 3.8754041887 g
57072.2912262 57070.1593888 1.22 1.17 86.0 -182.843291198 87.1414897272 30.0 0.0 0.0 g
57072.3603066 57070.1593888 1.72 1.17 86.0 -233.940711332 94.4783251735 30.0 0.0 0.0 g
57073.0825483 57070.1593888 1.55 1.17 86.0 -28.334824164 75.274978811 30.0 4.13661516207 0.0 g
57074.3473916 57070.1593888 1.63 1.17 86.0 -231.981055783 152.637628755 30.0 0.0 0.0 g
57074.3486918 57070.0919834 1.64 1.54 86.0 -28.8296058594 239.644957004 30.0 5.64750945222 0.0 r
57075.0777191 57070.1593888 1.54 1.17 86.0 134.499184416 114.973839238 24.720447001 0.67075984987 2.09530232642 g
57075.1450198 57070.1593888 1.17 1.17 86.0 45.0706394121 120.92995559 25.9075118296 1.41553981325 4.09248817039 g
57075.2134724 57070.1593888 1.09 1.17 86.0 -150.320174533 98.9992088795 30.0 0.0 0.0 g
57075.2823316 57070.1593888 1.22 1.17 86.0 -15.0310658525 109.57754522 30.0 4.89686727597 0.0 g
57075.3508478 57070.1593888 1.7 1.17 86.0 -393.563292813 148.951584223 30.0 0.0 0.0 g
57077.0623981 57070.0919834 1.64 1.54 86.0 -249.092693055 198.816318327 30.0 0.0 0.0 r
57077.1297836 57070.1593888 1.2 1.17 86.0 19.9803878287 109.928049684 26.7907363435 2.03258361363 3.20926365647 g
57077.1914337 57070.1593888 1.09 1.17 86.0 -100.873826809 93.5449569484 30.0 0.0 0.0 g
57078.1948284 57070.1593888 1.09 1.17 86.0 49.7937560853 98.7963088455 25.7993089091 1.18703721224 4.20069109085 g
57080.0590557 57070.0919834 1.59 1.54 86.0 -22.544517713 255.574129309 30.0 5.75628165016 0.0 r
57080.1211734 57070.1593888 1.2 1.17 86.0 -199.40138927 166.645200782 30.0 0.0 0.0 g
57080.1896245 57070.1593888 1.09 1.17 86.0 -123.378517692 111.371612227 30.0 0.0 0.0 g
57089.2466055 57070.0919834 1.23 1.54 86.0 2486.1551086 261.520735929 21.6734255773 0.108593188606 0.120673942838 r
57090.246719 57070.1593888 1.24 1.17 86.0 3496.04424217 199.268343683 21.1833038282 0.0601856530492 0.0637187334976 g
57095.1325411 57070.0919834 1.1 1.54 86.0 18468.8350572 162.232495861 19.4961473714 0.00949559458019 0.00957937408125 r
57095.1892597 57070.1593888 1.12 1.17 86.0 18761.6819282 121.484753389 19.3590667057 0.00700764422439 0.00705316749323 g
