# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15cg, field: Blind15A_46, CCD: S24, ipix: 615, jpix: 877, RA: 10:38:44.04, DEC: 02:27:06.85
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.253482 57070.1849634 1.19 1.23 86.0 -60.6589667515 91.7397891844 30.0 3.83098512737 0.0 g
57070.3223755 57070.1849634 1.4 1.23 86.0 54.5439502351 89.1690739315 25.558379659 1.05187385184 4.441620341 g
57070.3693403 57070.1849634 1.84 1.23 86.0 3.82069762592 87.4757257736 28.4448894568 3.4457777389 1.55511054319 g
57071.0965764 57070.1849634 1.77 1.23 86.0 -4.1897534457 84.0023522068 30.0 4.85493250191 0.0 g
57071.16397 57070.1849634 1.29 1.23 86.0 -11.8798941005 87.6881661518 30.0 4.79904536586 0.0 g
57071.2322933 57070.1849634 1.18 1.23 86.0 37.2593023564 87.455070672 25.9721593309 1.31170447211 4.02784066914 g
57071.3025873 57070.1849634 1.32 1.23 86.0 -48.6185416043 87.502635034 30.0 4.07418381682 0.0 g
57071.3713299 57070.1849634 1.91 1.23 86.0 -60.6119557118 88.3625349377 30.0 3.70793400288 0.0 g
57072.0932936 57070.1849634 1.77 1.23 86.0 -94.6736794056 90.7682136392 30.0 0.0 0.0 g
57072.16192 57070.1849634 1.28 1.23 86.0 -109.419340845 88.0774540611 30.0 0.0 0.0 g
57072.230482 57070.1849634 1.18 1.23 86.0 6.35389932433 87.2949364708 27.8926453049 2.92115513373 2.10735469508 g
57072.2995506 57070.1849634 1.32 1.23 86.0 59.7103578893 87.733410644 25.4601219425 0.981441870735 4.5398780575 g
57072.3683392 57070.1849634 1.9 1.23 86.0 -60.7046561547 87.5039407741 30.0 3.67006187469 0.0 g
57073.0907063 57070.1849634 1.77 1.23 86.0 -9.48903134552 95.5365424644 30.0 4.93659965463 0.0 g
57075.0857622 57070.1849634 1.76 1.23 86.0 18.9831091588 105.456316732 26.7043277654 2.0414766343 3.29567223458 g
57075.1530566 57070.1849634 1.29 1.23 86.0 -91.3733050943 111.624318803 30.0 3.36587079101 0.0 g
57075.2216633 57070.1849634 1.18 1.23 86.0 -97.6159876803 97.3883764239 30.0 0.0 0.0 g
57075.2904228 57070.1849634 1.31 1.23 86.0 17.5904456657 105.232979152 26.7870540213 2.11001090095 3.21294597873 g
57075.3590439 57070.1849634 1.89 1.23 86.0 85.2452842701 127.336813967 25.0735702197 0.992140814932 4.92642978029 g
57077.0705584 57070.1000406 1.9 1.76 86.0 350.106771476 201.278033078 23.7097448516 0.493135706835 0.928784275747 r
57077.1994473 57070.1849634 1.18 1.23 86.0 -38.1630663581 94.5613337677 30.0 4.47791827786 0.0 g
57080.1292144 57070.1849634 1.33 1.23 86.0 232.437077908 176.512908504 23.9844826105 0.613411977616 1.54676466114 g
57080.1978099 57070.1849634 1.18 1.23 86.0 490.176255118 120.362189959 23.1743654543 0.238401866869 0.305922112144 g
57089.2543622 57070.1000406 1.32 1.76 86.0 2058.93596331 255.839343983 21.7861390294 0.127165003594 0.144059600903 r
57090.254461 57070.1849634 1.34 1.23 86.0 1507.15249974 195.698317456 21.9548531326 0.132548509753 0.151010189416 g
57095.1393308 57070.1000406 1.19 1.76 86.0 2560.34294425 162.912897511 21.5495007765 0.0669757582378 0.0713804915966 r
57095.1975698 57070.1849634 1.21 1.23 86.0 1541.47233163 98.6137288842 21.9304067935 0.0673272590224 0.0717799016392 g
