# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15ch, field: Blind15A_49, CCD: S17, ipix: 2348, jpix: 1858, RA: 10:32:29.73, DEC: -03:50:16.88
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2575659 57070.1889488 1.13 1.14 86.0 -20.3859251044 88.1600451887 30.0 4.60941359143 0.0 g
57070.3265598 57070.1889488 1.35 1.14 86.0 60.8636587269 95.4191682544 25.5073509887 1.0238830069 4.4926490113 g
57070.37342 57070.1889488 1.77 1.14 86.0 -31.2129363011 91.5853263862 30.0 4.48384979563 0.0 g
57071.1006198 57070.1889488 1.55 1.14 86.0 -3.78641891811 90.3383093473 30.0 4.87494526686 0.0 g
57071.167966 57070.1889488 1.19 1.14 86.0 -59.1902840786 87.8629901468 30.0 3.67542557854 0.0 g
57071.2363844 57070.1889488 1.11 1.14 86.0 -35.0361800521 86.9041838702 30.0 4.31900270725 0.0 g
57071.3067544 57070.1889488 1.27 1.14 86.0 -18.4479770122 87.876219146 30.0 4.63559429543 0.0 g
57071.3753081 57070.1889488 1.84 1.14 86.0 -23.9613932282 82.9111339926 30.0 4.45795862088 0.0 g
57072.0972817 57070.1889488 1.55 1.14 86.0 -74.0700446641 99.2439791983 30.0 3.53413161805 0.0 g
57072.1658917 57070.1889488 1.18 1.14 86.0 62.1944189954 87.8185874198 25.4838675903 0.955943749368 4.51613240965 g
57072.2346584 57070.1889488 1.11 1.14 86.0 90.3472419126 86.5189422117 25.0784588803 0.729324767324 3.43227242414 g
57072.3036265 57070.1889488 1.26 1.14 86.0 9.12432231496 88.68247481 27.5677445825 2.57542104768 2.43225541751 g
57072.3725058 57070.1889488 1.83 1.14 86.0 36.0813515755 85.5069288297 26.0750391345 1.31902229729 3.92496086554 g
57073.0946888 57070.1889488 1.55 1.14 86.0 -49.1611528666 91.6596033977 30.0 4.10268661242 0.0 g
57075.0897401 57070.1889488 1.55 1.14 86.0 28.2696439973 103.77989228 26.3399452796 1.67354135253 3.66005472041 g
57075.157039 57070.1889488 1.19 1.14 86.0 -18.555009404 103.118259718 30.0 4.84970804033 0.0 g
57075.2256573 57070.1889488 1.11 1.14 86.0 6.275977439 97.3017006631 27.9740426938 3.04396199379 2.02595730616 g
57075.2944351 57070.1889488 1.26 1.14 86.0 12.6396865149 117.035774571 27.213905371 2.52780374507 2.78609462904 g
57077.074538 57070.1040433 1.64 1.54 86.0 522.525457683 183.442748256 23.3469774923 0.326694220578 0.469504524039 r
57077.2034114 57070.1889488 1.11 1.14 86.0 488.613464062 91.9002552684 23.2458325529 0.187117644613 0.226221923177 g
57078.203057 57070.1889488 1.11 1.14 86.0 752.146432269 159.129863149 22.7774901286 0.208369183793 0.258088929798 g
57080.0672421 57070.1040433 1.63 1.54 86.0 884.303706964 266.130058822 22.7757425142 0.285650436039 0.388727394485 r
57080.2017908 57070.1889488 1.11 1.14 86.0 976.435963863 127.253880812 22.4941367109 0.13300819911 0.151607361227 g
57089.2575778 57070.1040433 1.27 1.54 86.0 1480.72503159 356.111181318 22.2160600827 0.233990036665 0.298677475954 r
57090.2575391 57070.1889488 1.28 1.14 86.0 1057.2596046 188.970897161 22.4077920302 0.178541843365 0.21379371582 g
57095.1420388 57070.1040433 1.12 1.54 86.0 1096.3220359 134.791527998 22.5424007695 0.125899931915 0.142437687875 r
57095.2015731 57070.1889488 1.15 1.14 86.0 989.963513647 97.8461148302 22.4791981571 0.10233427531 0.112992947493 g
