# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15ci, field: Blind15A_19, CCD: N8, ipix: 3133, jpix: 1553, RA: 09:33:48.97, DEC: -04:34:54.60
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2167215 57070.1312927 1.13 1.19 86.0 -3.38449665424 77.0826574364 30.0 4.72039549615 0.0 g
57070.2854458 57070.1312927 1.33 1.19 86.0 -78.6236182137 79.5942895681 30.0 0.0194344051628 0.0 g
57070.3324582 57070.1312927 1.73 1.19 86.0 -70.040162577 80.3371679693 30.0 2.58353122232 0.0 g
57071.0601069 57070.1312927 1.57 1.19 86.0 50.3010654704 79.2442009217 25.6943031673 1.02711091023 4.30569683269 g
57071.1955317 57070.1312927 1.11 1.19 86.0 84.3981539762 77.2057858161 25.1324137594 0.705297492182 2.67365259426 g
57071.2656643 57070.1312927 1.25 1.19 86.0 33.8998481055 77.7586630893 26.1227517474 1.29423520148 3.87724825257 g
57071.3346489 57070.1312927 1.8 1.19 86.0 35.3439869984 78.1963423545 26.0774572812 1.26708652726 3.92254271881 g
57072.0568412 57070.1312927 1.57 1.19 86.0 31.3089567013 95.7399389053 26.2090746381 1.52075574557 3.79092536188 g
57072.1244666 57070.1312927 1.19 1.19 86.0 12.0822000519 77.3586903483 27.2428810723 2.17347522932 2.75711892768 g
57072.1937921 57070.1312927 1.11 1.19 86.0 158.186149032 78.8866393768 24.4503249944 0.439283135864 0.749744878996 g
57072.2624662 57070.1312927 1.25 1.19 86.0 -20.2226330863 76.8623502682 30.0 4.43455656222 0.0 g
57072.3316361 57070.1312927 1.79 1.19 86.0 15.252327739 78.6415769679 26.9899058063 1.97325317858 3.01009419373 g
57073.0542127 57070.1312927 1.57 1.19 86.0 192.583417581 97.7067465839 24.2366989046 0.445533578905 0.768648628797 g
57074.0519003 57070.1312927 1.57 1.19 86.0 21.2684258842 112.231744235 26.6289077577 1.99436617743 3.37109224226 g
57074.3189177 57070.1312927 1.7 1.19 86.0 -97.1540783847 125.193607717 30.0 3.67118067027 0.0 g
57075.0494839 57070.1312927 1.56 1.19 86.0 258.866878514 106.566174178 23.9155549109 0.374328347407 0.575936437763 g
57075.1169513 57070.1312927 1.19 1.19 86.0 306.268124126 105.462725098 23.7329916318 0.321279023802 0.458316032667 g
57075.1847679 57070.1312927 1.11 1.19 86.0 395.631659946 80.2551743653 23.4550185326 0.200531629364 0.246154322333 g
57075.2535318 57070.1312927 1.25 1.19 86.0 163.31307985 115.951084389 24.4156937055 0.582485601615 1.34397744303 g
57075.3221541 57070.1312927 1.78 1.19 86.0 296.124524811 115.965850928 23.7695601861 0.358795237472 0.539548001013 g
57077.033985 57070.063707 1.67 1.56 86.0 282.108880713 172.665124239 23.9942042335 0.51844718612 1.02806441696 r
57077.1017369 57070.1312927 1.22 1.19 86.0 372.60219659 95.6772350805 23.520132601 0.248149179372 0.322208267075 g
57077.1628915 57070.1312927 1.11 1.19 86.0 575.707396841 80.3518509217 23.0477416046 0.141853130581 0.16321194944 g
57080.0411663 57070.063707 1.51 1.56 86.0 711.399932684 170.466985102 22.9899615787 0.233223077751 0.297425962867 r
57080.093114 57070.1312927 1.22 1.19 86.0 179.603975415 194.78121515 24.312456265 0.79750678975 5.68754373503 g
57080.1609666 57070.1312927 1.11 1.19 86.0 863.00461336 145.85915426 22.6082133348 0.169548519287 0.201014661202 g
57089.2217937 57070.063707 1.28 1.56 86.0 1273.05061767 197.93520324 22.3581319482 0.156907036399 0.183476458402 r
57090.2217978 57070.1312927 1.29 1.19 86.0 1361.2403246 156.931660985 22.1134091133 0.118465418353 0.132992488226 g
57095.1105714 57070.063707 1.11 1.56 86.0 877.649013585 156.502859247 22.7619439555 0.178158634349 0.213243942902 r
57095.1605637 57070.1312927 1.14 1.19 86.0 1222.21509832 80.8570770362 22.2303770172 0.0695520674604 0.0743143726055 g
