# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15cj, field: Blind15A_34, CCD: N3, ipix: 3630, jpix: 1052, RA: 10:11:41.57, DEC: -00:04:52.09
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2371948 57070.1513671 1.17 1.25 86.0 64.7574548593 89.6020862196 25.5380216994 0.943109268075 4.4619783006 g
57070.3058296 57070.1513671 1.37 1.25 86.0 176.636427651 89.8780922557 24.448545446 0.446601504639 0.771922655206 g
57070.3528677 57070.1513671 1.79 1.25 86.0 63.4499382701 95.311170916 25.5601681183 0.995782301348 4.43983188166 g
57071.0804328 57070.1513671 1.71 1.25 86.0 156.617221445 88.6471498627 24.579147341 0.48698737375 0.906304468899 g
57071.1479168 57070.1513671 1.26 1.25 86.0 71.3107955842 90.1047270775 25.4333579238 0.886975037452 4.56664207617 g
57071.2160155 57070.1513671 1.16 1.25 86.0 62.8321998432 90.3884754914 25.570790465 0.967837767406 4.42920953499 g
57071.2861523 57070.1513671 1.29 1.25 86.0 90.6153267713 90.1176931182 25.1732419758 0.749589611046 5.65072979626 g
57071.3551409 57070.1513671 1.86 1.25 86.0 65.4191303051 81.5461371893 25.5269842125 0.878774858066 4.47301578747 g
57072.077189 57070.1513671 1.71 1.25 86.0 79.59104353 97.7924187784 25.314085631 0.870122321758 4.68591436899 g
57072.1445419 57070.1513671 1.26 1.25 86.0 114.196046397 91.2466758143 24.9221184572 0.63759923163 1.74220072364 g
57072.2143034 57070.1513671 1.16 1.25 86.0 68.7185964908 89.2006295384 25.4735604259 0.903401814875 4.52643957409 g
57072.2831408 57070.1513671 1.29 1.25 86.0 75.0325422301 90.1119196274 25.3781219748 0.856535882027 4.62187802523 g
57072.3522409 57070.1513671 1.85 1.25 86.0 42.5943716004 97.8372859621 25.9928655895 1.29528201643 4.00713441047 g
57073.0745012 57070.1513671 1.71 1.25 86.0 41.3276655767 102.1717813 26.0256439418 1.35152338134 3.97435605823 g
57075.0696416 57070.1513671 1.71 1.25 86.0 -104.90659666 116.549626518 30.0 2.59891889979 0.0 g
57075.1370012 57070.1513671 1.26 1.25 86.0 120.550052833 106.510624759 24.8633276155 0.687436311216 2.334544972 g
57075.2051724 57070.1513671 1.16 1.25 86.0 93.0353834937 91.1389658263 25.1446257478 0.741452480115 4.22678539878 g
57075.2740416 57070.1513671 1.29 1.25 86.0 101.63054903 120.302538854 25.0486854488 0.84799446013 4.95131455124 g
57075.3427522 57070.1513671 1.83 1.25 86.0 -93.5396154796 128.167957424 30.0 3.78233311538 0.0 g
57077.0543143 57070.0838544 1.83 1.7 86.0 239.391440319 202.657143453 24.2584745838 0.665903464522 2.03509221579 r
57077.1217682 57070.1513671 1.29 1.25 86.0 144.429161645 101.314393498 24.6671089022 0.577068116313 1.31257208838 g
57077.1832871 57070.1513671 1.16 1.25 86.0 95.0458146048 96.9518238378 25.121413635 0.763407224303 4.87858636495 g
57078.190664 57070.1513671 1.16 1.25 86.0 127.580939523 101.499247822 24.801781638 0.635504333962 1.72362509751 g
57080.0549265 57070.0838544 1.72 1.7 86.0 -26.3892183258 244.18829788 30.0 5.63889397199 0.0 r
57080.1131535 57070.1513671 1.29 1.25 86.0 93.8757263307 162.57140273 25.1348628525 1.09111132813 4.86513714746 g
57080.1813153 57070.1513671 1.16 1.25 86.0 -56.1751709584 140.36670058 30.0 4.74692487192 0.0 g
57089.2404554 57070.0838544 1.31 1.7 86.0 1310.137102 296.279191368 22.4129542639 0.221353386804 0.278349128946 r
57090.2405621 57070.1513671 1.32 1.25 86.0 1252.72530128 185.153609623 22.3216065057 0.149666162726 0.173646999216 g
57095.1271428 57070.0838544 1.16 1.7 86.0 3035.67553233 151.422164276 21.5006077526 0.0528500655901 0.0555548544156 r
57095.1809613 57070.1513671 1.18 1.25 86.0 2542.24030347 95.582351926 21.5532046293 0.0400724860318 0.0416083532948 g
