# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15ck, field: Blind15A_45, CCD: S6, ipix: 1242, jpix: 1340, RA: 10:29:40.24, DEC: 01:55:21.95
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.1836009 57070.1660888 1.22 1.27 86.0 106.153634264 84.9307246928 24.9074089601 0.638225681253 1.74782485908 g
57070.2521272 57070.1660888 1.2 1.27 86.0 12.6794001084 88.063514597 27.2144993617 2.250289513 2.7855006383 g
57070.3209626 57070.1660888 1.44 1.27 86.0 121.934817935 90.374227729 24.7569267927 0.602101910032 1.4674565448 g
57070.3679811 57070.1660888 1.91 1.27 86.0 65.5908979517 87.5302429375 25.4301371868 0.920478949527 4.56986281318 g
57071.0951591 57070.1660888 1.71 1.27 86.0 44.4436005563 84.8257394614 25.852723039 1.1592157397 4.14727696102 g
57071.1626183 57070.1660888 1.27 1.27 86.0 102.61428878 81.8540975772 24.9442265296 0.636785273455 1.73494122578 g
57071.3011757 57070.1660888 1.34 1.27 86.0 133.775890012 82.8420698906 24.6563015056 0.523291530831 1.04842899703 g
57071.3699748 57070.1660888 1.99 1.27 86.0 49.0930690014 84.1195605904 25.7446956721 1.08381304717 4.25530432791 g
57072.0919318 57070.1660888 1.71 1.27 86.0 133.933528206 89.8330734198 24.6550228541 0.557264891604 1.20611560358 g
57072.160557 57070.1660888 1.27 1.27 86.0 166.027158368 84.1503077663 24.4217982911 0.445172636846 0.767545014172 g
57072.2290578 57070.1660888 1.18 1.27 86.0 26.1120724434 81.4449657022 26.4301427732 1.53699373093 3.56985722676 g
57072.2981874 57070.1660888 1.34 1.27 86.0 -23.0875798371 82.3318590208 30.0 4.45936992151 0.0 g
57072.3669837 57070.1660888 1.98 1.27 86.0 -0.0250303550473 84.3738161337 30.0 4.84295095988 0.0 g
57073.0893543 57070.1660888 1.71 1.27 86.0 -56.6877121723 103.094209312 30.0 4.19420084237 0.0 g
57074.0864873 57070.1660888 1.71 1.27 86.0 -71.2993282584 143.677825533 30.0 4.67677777696 0.0 g
57075.0844046 57070.1660888 1.7 1.27 86.0 216.48902211 106.116511585 24.1336564313 0.433089834785 0.731437394048 g
57075.1517074 57070.1660888 1.27 1.27 86.0 193.862368712 108.719313303 24.2535123409 0.483372794674 0.893360709596 g
57075.2202993 57070.1660888 1.18 1.27 86.0 150.803163883 90.1589155735 24.5262199951 0.508845622984 0.989052089791 g
57075.2890649 57070.1660888 1.34 1.27 86.0 116.786831933 116.923648917 24.8037614343 0.753210778577 5.1962385657 g
57075.3576762 57070.1660888 1.96 1.27 86.0 211.305643501 133.528430985 24.1599683875 0.53174769368 1.08514680495 g
57077.0691953 57070.0986314 1.83 1.7 86.0 -49.6273187125 185.604202549 30.0 5.2274165826 0.0 r
57077.1364573 57070.1660888 1.3 1.27 86.0 83.9084593779 97.1321861286 25.1627317601 0.834925855621 4.83726823987 g
57077.1980977 57070.1660888 1.18 1.27 86.0 154.343001905 94.5063185078 24.501028771 0.518623790555 1.02879857302 g
57078.2002822 57070.1660888 1.18 1.27 86.0 135.803107838 85.2264470724 24.639971856 0.528851600768 1.07239889101 g
57080.1278548 57070.1660888 1.31 1.27 86.0 144.398802965 202.573164682 24.5733371455 0.951826989763 5.42666285449 g
57080.1964492 57070.1660888 1.18 1.27 86.0 198.110372875 115.13026951 24.2299780896 0.497427226366 0.944833109786 g
57089.2528288 57070.0986314 1.35 1.7 86.0 973.269788693 256.412110789 22.6356630215 0.253898844444 0.332000753799 r
57090.2529269 57070.1660888 1.36 1.27 86.0 1139.74977494 162.838777751 22.3302223403 0.144994355262 0.167386291468 g
57095.1379678 57070.0986314 1.19 1.7 86.0 1220.16384251 151.712645928 22.3902007499 0.127242154629 0.144158653722 r
57095.1962245 57070.1660888 1.22 1.27 86.0 1235.93667155 93.4044337464 22.2422555821 0.0791005390364 0.0853193884861 g
