# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15cl, field: Blind15A_45, CCD: N8, ipix: 3075, jpix: 1700, RA: 10:24:36.33, DEC: 01:34:07.18
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.1836009 57070.1660888 1.22 1.27 86.0 -110.26892357 87.7056868461 30.0 0.0 0.0 g
57070.2521272 57070.1660888 1.2 1.27 86.0 -17.7445808145 87.35881812 30.0 4.6744990453 0.0 g
57070.3209626 57070.1660888 1.44 1.27 86.0 -37.5921442998 91.3009232301 30.0 4.39286706888 0.0 g
57070.3679811 57070.1660888 1.91 1.27 86.0 -148.101863199 88.5641386529 30.0 0.0 0.0 g
57071.0951591 57070.1660888 1.71 1.27 86.0 -50.5765725347 78.9974860958 30.0 3.70184895631 0.0 g
57071.1626183 57070.1660888 1.27 1.27 86.0 -83.7316473842 81.3710123548 30.0 0.0 0.0 g
57071.3011757 57070.1660888 1.34 1.27 86.0 3.34222083124 83.1063275251 28.6221582738 3.53180640817 1.37784172622 g
57071.3699748 57070.1660888 1.99 1.27 86.0 -110.389629043 77.5382739216 30.0 0.0 0.0 g
57072.0919318 57070.1660888 1.71 1.27 86.0 -43.359286584 88.8738868729 30.0 4.21313070462 0.0 g
57072.160557 57070.1660888 1.27 1.27 86.0 -100.287321803 83.2946945031 30.0 0.0 0.0 g
57072.2290578 57070.1660888 1.18 1.27 86.0 -93.3495431408 81.9797698354 30.0 0.0 0.0 g
57072.2981874 57070.1660888 1.34 1.27 86.0 -92.3121923491 83.1253939106 30.0 0.0 0.0 g
57072.3669837 57070.1660888 1.98 1.27 86.0 89.683541159 83.9345654038 25.0504642579 0.717205668839 2.98280567733 g
57073.0893543 57070.1660888 1.71 1.27 86.0 32.9239498289 100.064882892 26.1384663001 1.51575810725 3.86153369994 g
57074.0864873 57070.1660888 1.71 1.27 86.0 -60.5373738296 138.656524988 30.0 4.79964766091 0.0 g
57075.0844046 57070.1660888 1.7 1.27 86.0 -80.3449266516 102.851698855 30.0 3.44853691031 0.0 g
57075.1517074 57070.1660888 1.27 1.27 86.0 -126.516137441 109.538964211 30.0 0.0 0.0 g
57075.2202993 57070.1660888 1.18 1.27 86.0 -20.7266331841 91.1474825068 30.0 4.68700701851 0.0 g
57075.2890649 57070.1660888 1.34 1.27 86.0 -36.8361039388 121.794059241 30.0 4.89076400095 0.0 g
57075.3576762 57070.1660888 1.96 1.27 86.0 68.5496042218 134.358878931 25.3422337489 1.17823813153 4.65776625111 g
57077.0691953 57070.0986314 1.83 1.7 86.0 312.8710093 194.723531464 23.8678328202 0.525379048447 1.05735217064 r
57077.1364573 57070.1660888 1.3 1.27 86.0 -31.1858241662 98.7390897555 30.0 4.64186974208 0.0 g
57077.1980977 57070.1660888 1.18 1.27 86.0 94.3206655491 94.7327315673 24.9957289867 0.754944072649 5.00427101335 g
57078.2002822 57070.1660888 1.18 1.27 86.0 69.3824121075 87.4258015841 25.3291226426 0.885298533281 4.67087735737 g
57080.1278548 57070.1660888 1.31 1.27 86.0 248.249083238 202.264277832 23.9450269947 0.647050055517 1.83068325085 g
57080.1964492 57070.1660888 1.18 1.27 86.0 240.957039565 115.598558626 23.9773970812 0.425469102104 0.709464744791 g
57089.2528288 57070.0986314 1.35 1.7 86.0 2065.3999284 241.277612263 21.818735734 0.119956823592 0.13487550284 r
57090.2529269 57070.1660888 1.36 1.27 86.0 962.489094394 203.043590159 22.4737565847 0.207821598473 0.257248004662 g
57095.1379678 57070.0986314 1.19 1.7 86.0 2409.8881952 162.212041109 21.6512538923 0.0707274874956 0.0756578904719 r
57095.1962245 57070.1660888 1.22 1.27 86.0 1002.01925327 90.6376745986 22.4300559622 0.0940193933408 0.102939550515 g
