# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15cm, field: Blind15A_47, CCD: S27, ipix: 3514, jpix: 978, RA: 10:42:34.46, DEC: 00:44:54.94
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.254815 57070.1862861 1.16 1.21 86.0 17.8492443244 108.42007311 26.9651965424 2.12419499633 3.03480345765 g
57070.3237655 57070.1862861 1.36 1.21 86.0 0.392378813967 98.6156813704 31.1099822528 6.0049125039 -1.10998225281 g
57070.3706674 57070.1862861 1.76 1.21 86.0 -73.8579012953 100.564319089 30.0 3.47229296887 0.0 g
57071.0978992 57070.1862861 1.74 1.21 86.0 83.8957190049 97.2713777215 25.2848966271 0.835848810612 4.71510337289 g
57071.1653017 57070.1862861 1.27 1.21 86.0 5.34390255596 97.9212258544 28.2745998022 3.21523789769 1.72540019775 g
57071.2336225 57070.1862861 1.16 1.21 86.0 68.5717062364 98.6559339946 25.5038837383 0.967907763721 4.49611626174 g
57071.3039785 57070.1862861 1.28 1.21 86.0 -111.758293122 98.060325259 30.0 0.0 0.0 g
57071.3726491 57070.1862861 1.82 1.21 86.0 268.522943206 98.9555421564 24.0217926313 0.340626297382 0.499097587277 g
57072.0946184 57070.1862861 1.75 1.21 86.0 -81.7397539908 102.190876699 30.0 3.1825467582 0.0 g
57072.1632386 57070.1862861 1.26 1.21 86.0 -10.202518376 97.6301624646 30.0 4.75987581094 0.0 g
57072.2318689 57070.1862861 1.16 1.21 86.0 -1.35217743022 97.2201880975 30.0 4.85993816072 0.0 g
57072.3008771 57070.1862861 1.28 1.21 86.0 125.715362846 97.1122361872 24.8457752451 0.621451568963 1.60743710991 g
57072.3697158 57070.1862861 1.82 1.21 86.0 102.41103983 92.9758345756 25.0683791887 0.701371524483 2.58898855873 g
57073.0920296 57070.1862861 1.75 1.21 86.0 -21.4793710506 100.771078121 30.0 4.65382329157 0.0 g
57074.3593197 57070.1862861 1.75 1.21 86.0 13.4933561364 152.00555694 27.2689461705 2.72168790705 2.73105382951 g
57075.087085 57070.1862861 1.74 1.21 86.0 -48.3716666886 112.208709429 30.0 4.41843577203 0.0 g
57075.1543901 57070.1862861 1.27 1.21 86.0 43.7907714118 116.157540855 25.9907896388 1.40649266538 4.00921036121 g
57075.2230031 57070.1862861 1.16 1.21 86.0 102.788332286 106.389152379 25.0643865786 0.771427791374 4.9356134214 g
57075.2917489 57070.1862861 1.28 1.21 86.0 -93.5946792296 119.600700397 30.0 3.44343865116 0.0 g
57075.3603768 57070.1862861 1.8 1.21 86.0 66.7227072882 136.651931861 25.5335619792 1.21005783947 4.46643802084 g
57077.0718821 57070.1013717 1.87 1.73 86.0 207.939029691 201.289852561 24.4084060954 0.735075660873 3.73792027662 r
57077.2007616 57070.1862861 1.16 1.21 86.0 -55.5758626444 110.756112626 30.0 4.26021303095 0.0 g
57078.2016791 57070.1862861 1.16 1.21 86.0 39.6060161992 114.839959309 26.0998432262 1.47753858837 3.9001567738 g
57080.1305508 57070.1862861 1.31 1.21 86.0 121.880546144 165.32257652 24.8794101491 0.930636914791 5.12058985094 g
57080.1991346 57070.1862861 1.16 1.21 86.0 -35.2326438917 122.359277536 30.0 4.75613120765 0.0 g
57089.2559406 57070.1013717 1.29 1.73 86.0 1883.8030917 255.756895017 22.0156573648 0.138222404882 0.15842195315 r
57090.2559656 57070.1862861 1.3 1.21 86.0 2029.85612772 219.947570438 21.8255829855 0.111698423179 0.124521559142 g
57095.1406527 57070.1013717 1.17 1.73 86.0 3342.63604906 173.937273128 21.3930233967 0.0550764612907 0.0580203412171 r
57095.1989013 57070.1862861 1.18 1.21 86.0 3828.46935152 110.557493296 21.1366831913 0.0309094145938 0.0318152128579 g
