# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15C, field: Blind15A_40, CCD: N10, ipix: 300, jpix: 1019, RA: 10:19:19.59, DEC: -06:45:44.93
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2452939 57070.1593888 1.1 1.17 86.0 242.90718118 80.808586017 24.1486452425 0.311808747037 0.439152758056 g
57070.3141609 57070.1593888 1.3 1.17 86.0 180.042291175 82.2864423956 24.4738098005 0.40867832902 0.663079450343 g
57070.3611263 57070.1593888 1.66 1.17 86.0 209.838515953 78.1064151373 24.3075331128 0.343560579008 0.505483970674 g
57071.0884497 57070.1593888 1.54 1.17 86.0 490.798015578 76.2109355431 23.3849891329 0.156717792171 0.183217585605 g
57071.1559281 57070.1593888 1.17 1.17 86.0 386.480699913 74.7517933861 23.6444266007 0.191980210663 0.233376837107 g
57071.2240972 57070.1593888 1.09 1.17 86.0 543.9554881 77.0955503705 23.2733377211 0.143909823735 0.165941887612 g
57071.2943927 57070.1593888 1.22 1.17 86.0 611.276431621 75.6160384913 23.1466519995 0.126627760266 0.143370289348 g
57071.3632191 57070.1593888 1.72 1.17 86.0 496.973204737 74.1616175545 23.3714136942 0.151014166286 0.175465232186 g
57072.0852101 57070.1593888 1.55 1.17 86.0 753.465977204 82.824538686 22.9195870119 0.113233812778 0.126433154487 g
57072.152555 57070.1593888 1.17 1.17 86.0 988.119787005 78.8260950825 22.6252221379 0.0833319887389 0.0902635445932 g
57072.1538727 57070.0919834 1.17 1.54 86.0 633.555562167 124.860750945 23.2377843579 0.19530739449 0.238318500733 r
57072.2223061 57070.1593888 1.09 1.17 86.0 969.361771172 78.3659175077 22.6460314071 0.084406332289 0.0915255134865 g
57072.2912262 57070.1593888 1.22 1.17 86.0 1088.76077794 76.4125435705 22.51991496 0.0736451624315 0.0790063437232 g
57072.3603066 57070.1593888 1.72 1.17 86.0 937.024497841 81.6785914348 22.6828687647 0.0907416945648 0.0990229103058 g
57073.0825483 57070.1593888 1.55 1.17 86.0 208.9065802 70.5137151709 24.3123658288 0.315764569184 0.447096048703 g
57074.3473916 57070.1593888 1.63 1.17 86.0 1141.58253701 131.359579093 22.4684778364 0.118253347392 0.132725206974 g
57074.3486918 57070.0919834 1.64 1.54 86.0 1426.88918413 210.408099258 22.3562705131 0.149343238096 0.173212213876 r
57075.0777191 57070.1593888 1.54 1.17 86.0 1721.9796519 102.326891701 22.02217609 0.0626745017009 0.0665152493807 g
57075.1450198 57070.1593888 1.17 1.17 86.0 1845.55542226 107.433633589 21.946928399 0.0614317948805 0.065117219581 g
57075.2134724 57070.1593888 1.09 1.17 86.0 2261.6394867 89.6437738565 21.726187683 0.0422039349164 0.0439110358585 g
57075.2823316 57070.1593888 1.22 1.17 86.0 2030.73181819 99.2779481669 21.8431146943 0.0518225529862 0.0544205835802 g
57075.3508478 57070.1593888 1.7 1.17 86.0 1482.45027492 129.334644702 22.1847957907 0.0908173827397 0.0991130605781 g
57077.0623981 57070.0919834 1.64 1.54 86.0 2632.77936147 179.609501164 21.691209966 0.0716522614416 0.0767171113483 r
57077.1297836 57070.1593888 1.2 1.17 86.0 2619.64411939 101.09551971 21.5666403879 0.0411117197629 0.0427299009294 g
57077.1914337 57070.1593888 1.09 1.17 86.0 2731.64287501 87.4903913366 21.5211863265 0.0342292142968 0.0353435602673 g
57078.1948284 57070.1593888 1.09 1.17 86.0 3187.45728189 92.1191607234 21.3536351954 0.0309334627415 0.0318406917997 g
57080.0590557 57070.0919834 1.59 1.54 86.0 2978.61037945 231.056771656 21.5572118818 0.0811157474822 0.0876688095013 r
57080.1211734 57070.1593888 1.2 1.17 86.0 2699.0273692 159.567652568 21.5342279069 0.0623633613935 0.0661649011901 g
57080.1896245 57070.1593888 1.09 1.17 86.0 3587.85992791 109.026517545 21.2251574291 0.0325015781844 0.0335046181417 g
57089.2466055 57070.0919834 1.23 1.54 86.0 4251.11873757 254.542138121 21.1709880397 0.0631381637954 0.0670377354575 r
57090.246719 57070.1593888 1.24 1.17 86.0 2962.52287881 200.063787346 21.4330918457 0.0709518064702 0.0759146439743 g
57095.1325411 57070.0919834 1.1 1.54 86.0 2509.1070608 126.889408396 21.7434481467 0.0535640790812 0.0563443852449 r
57095.1892597 57070.1593888 1.12 1.17 86.0 1188.93443061 83.0064955094 22.424351368 0.0732725934824 0.0785776895917 g
