# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15H, field: Blind15A_07, CCD: N2, ipix: 3860, jpix: 1214, RA: 09:16:10.52, DEC: -00:23:34.26
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2004173 57070.1152628 1.16 1.25 86.0 54.0126728211 95.7944646894 25.6350069558 1.10759209191 4.36499304416 g
57070.2690565 57070.1152628 1.37 1.25 86.0 67.380486346 94.7574704867 25.3949107747 0.953376386596 4.60508922527 g
57071.044058 57070.1152628 1.69 1.25 86.0 513.225501619 99.4016057079 23.1904755585 0.192219953892 0.233731657099 g
57071.1118209 57070.1152628 1.25 1.25 86.0 477.61919598 97.8746597352 23.2685416951 0.202397295093 0.248975598071 g
57071.1794721 57070.1152628 1.15 1.25 86.0 431.326072248 98.1821374851 23.3792318516 0.222667468436 0.280434499329 g
57071.2477212 57070.1152628 1.29 1.25 86.0 402.495091039 99.0562761725 23.4543446583 0.238887076703 0.306723636137 g
57071.3182669 57070.1152628 1.86 1.25 86.0 424.265081478 98.9010262649 23.397152905 0.227505780196 0.288169292374 g
57072.0407293 57070.1152628 1.69 1.25 86.0 670.385273096 111.671025784 22.9004349651 0.167283882676 0.197836797841 g
57072.1084477 57070.1152628 1.25 1.25 86.0 735.545294152 97.8115885324 22.7997225748 0.135554013228 0.154925125764 g
57072.1773785 57070.1152628 1.15 1.25 86.0 842.391795323 97.8698196556 22.6524608074 0.119336446627 0.134091517903 g
57072.2459911 57070.1152628 1.29 1.25 86.0 820.57529032 100.939573699 22.6809500404 0.125959774239 0.142514312929 g
57072.3152287 57070.1152628 1.85 1.25 86.0 760.236261014 97.41319716 22.7638746773 0.130903093158 0.148877421065 g
57073.0382042 57070.1152628 1.69 1.25 86.0 753.876869808 117.32851542 22.7729950815 0.157050331604 0.183672547266 g
57074.036049 57070.1152628 1.68 1.25 86.0 1136.09094782 139.709832883 22.3277133794 0.125924410259 0.142469029986 g
57075.0333523 57070.1152628 1.68 1.25 86.0 1312.36946181 130.403060722 22.1711058381 0.102854366534 0.113627461676 g
57075.1009618 57070.1152628 1.25 1.25 86.0 1381.07842772 124.498895713 22.1157002739 0.0937118080604 0.10257090082 g
57075.1683354 57070.1152628 1.15 1.25 86.0 1610.64104994 105.05923287 21.948749219 0.0686066480486 0.0732360062492 g
57075.2371175 57070.1152628 1.29 1.25 86.0 1485.40262317 117.774143355 22.0366356618 0.0828430596084 0.089690126152 g
57075.3057461 57070.1152628 1.84 1.25 86.0 1311.53656125 132.726922155 22.1717951237 0.104665072405 0.115841808412 g
57077.0180013 57070.0472192 1.81 1.68 86.0 2038.44573079 232.311461482 21.8349982436 0.117178861582 0.13137280213 r
57077.0857227 57070.1152628 1.28 1.25 86.0 2229.10901624 112.420862501 21.5959178569 0.0534209885195 0.0561860731509 g
57077.146451 57070.1152628 1.16 1.25 86.0 2396.45201423 104.10582636 21.517324285 0.0461704186337 0.0482213306751 g
57080.0288123 57070.0472192 1.59 1.68 86.0 3087.76880816 232.176565076 21.3841341887 0.0787154051691 0.0848714554771 r
57080.0770922 57070.1152628 1.28 1.25 86.0 2579.04991838 188.103816952 21.4375967578 0.0764338496607 0.0822249052855 g
57080.1445979 57070.1152628 1.15 1.25 86.0 2808.79119477 153.252498275 21.3449474906 0.05768001376 0.0609170516482 g
57089.2123373 57070.0472192 1.35 1.68 86.0 2930.00343072 234.005474221 21.4410758059 0.0834239206505 0.0903714254698 r
57090.2123458 57070.1152628 1.36 1.25 86.0 2418.41912692 170.91276259 21.5074172057 0.0741403776536 0.079576596857 g
57095.0764132 57070.0472192 1.18 1.68 86.0 2617.5377927 172.513469212 21.563513726 0.06929805458 0.0740244423579 r
57095.1508398 57070.1152628 1.19 1.25 86.0 1707.98295552 101.227562035 21.8850372971 0.0625139284105 0.0663344150323 g
