# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15J, field: Blind15A_25, CCD: S14, ipix: 1111, jpix: 1660, RA: 9:47:05.67, DEC: 02:31:49.86
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2249242 57070.1393195 1.2 1.27 86.0 -62.0995788574 56.9880226906 30.0 0.0 0.0 g
57070.2935577 57070.1393195 1.43 1.27 86.0 -1143.78735352 977.390735028 30.0 0.0 0.0 g
57070.3405387 57070.1393195 1.89 1.27 86.0 24.884973526 57.3997586043 26.4524031705 1.29845519155 3.54759682953 g
57071.0682754 57070.1393195 1.73 1.27 86.0 116.096168518 60.959636211 24.7802014103 0.458230706142 0.808446096217 g
57071.1358795 57070.1393195 1.28 1.27 86.0 69.0421142578 56.7353125985 25.3444609226 0.651221558831 1.87242220195 g
57071.2036092 57070.1393195 1.18 1.27 86.0 67.1787490845 62.1977464193 25.3741663463 0.711558675662 2.82478784652 g
57071.2738799 57070.1393195 1.34 1.27 86.0 81.2485961914 58.4267536538 25.1677064631 0.588259754529 1.37866290358 g
57071.3428981 57070.1393195 1.97 1.27 86.0 152.781997681 52.7027227726 24.4820656674 0.321768374036 0.459320085329 g
57072.0649289 57070.1393195 1.74 1.27 86.0 424.128265381 69.5687022797 23.3735030873 0.164908108569 0.194520031887 g
57072.1324854 57070.1393195 1.28 1.27 86.0 332.040618896 55.4409238265 23.6392680914 0.167649513735 0.198348794204 g
57072.202007 57070.1393195 1.18 1.27 86.0 338.816864014 65.2394815079 23.617333582 0.191192282781 0.232212070965 g
57072.2707683 57070.1393195 1.34 1.27 86.0 254.081329346 59.2446818099 23.9298142457 0.227559242291 0.288255261772 g
57072.3399719 57070.1393195 1.97 1.27 86.0 317.435791016 61.2946406104 23.688106398 0.191685776883 0.232941340811 g
57073.0623806 57070.1393195 1.73 1.27 86.0 338.174835205 69.5102843525 23.6193929104 0.202958932495 0.249827300411 g
57074.0598913 57070.1393195 1.73 1.27 86.0 960.294494629 83.3765917816 22.4862350305 0.0903980324857 0.0986137562213 g
57075.0576025 57070.1393195 1.73 1.27 86.0 1350.56152344 101.021852847 22.1159601961 0.0783190328767 0.0844108101943 g
57075.1249649 57070.1393195 1.28 1.27 86.0 1494.48913574 78.1161754597 22.0060142225 0.0553174395602 0.058287837836 g
57075.193096 57070.1393195 1.18 1.27 86.0 1627.97155762 63.6325041414 21.9131290955 0.0416297655921 0.0432898137616 g
57075.2617824 57070.1393195 1.33 1.27 86.0 1683.78015137 113.088764257 21.8765326639 0.0705775252944 0.0754863085023 g
57075.3302265 57070.1393195 1.94 1.27 86.0 1274.31262207 99.9752431 22.1790561661 0.0820043172948 0.0887077504776 g
57077.0421334 57070.0717088 1.86 1.72 86.0 3614.67382812 137.977955731 21.1790733416 0.040672881495 0.0422560316021 r
57077.1097248 57070.1393195 1.31 1.27 86.0 3158.43261719 70.1313707568 21.1935670882 0.0238444556736 0.0243798981581 g
57077.1709629 57070.1393195 1.18 1.27 86.0 3448.56762695 63.8761386976 21.0981492606 0.0199265822681 0.0202991443456 g
57080.0467181 57070.0717088 1.7 1.72 86.0 6176.95654297 210.736101427 20.5973097633 0.0364236628841 0.0376881254565 r
57080.1011363 57070.1393195 1.31 1.27 86.0 5928.48583984 136.94324139 20.5098866609 0.0247943557554 0.0253738296054 g
57080.1692567 57070.1393195 1.18 1.27 86.0 6178.19238281 99.0010063759 20.4650925589 0.017260202554 0.0175390305952 g
57089.2280307 57070.0717088 1.35 1.72 86.0 12076.7949219 160.854291501 19.8693668993 0.0143657716302 0.0145584020037 r
57090.2281613 57070.1393195 1.37 1.27 86.0 8937.8671875 152.423445841 20.0641613857 0.0183596791952 0.0186754872751 g
57095.1162608 57070.0717088 1.19 1.72 86.0 9644.44824219 116.589521064 20.1135526612 0.0130465155293 0.0132051948449 r
57095.1686341 57070.1393195 1.22 1.27 86.0 6126.2890625 68.3509451642 20.4742524164 0.012046470956 0.0121816300995 g
