# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15P, field: Blind15A_07, CCD: S10, ipix: 3300, jpix: 518, RA: 09:17:52.74, DEC: -00:00:45.30
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2004173 57070.1152628 1.16 1.25 86.0 16.8419971466 43.7037287496 27.0402621545 1.38922475244 2.95973784549 g
57070.2690565 57070.1152628 1.37 1.25 86.0 32.2446746826 45.080120884 26.3351011289 0.949651951976 3.66489887111 g
57071.044058 57070.1152628 1.69 1.25 86.0 37.344707489 53.1828057428 26.1756734729 0.961378821241 3.82432652708 g
57071.1118209 57070.1152628 1.25 1.25 86.0 38.121219635 47.394623013 26.153329161 0.877199481648 3.84667083897 g
57071.1794721 57070.1152628 1.15 1.25 86.0 -66.0562362671 48.6203614284 30.0 0.0 0.0 g
57071.2477212 57070.1152628 1.29 1.25 86.0 16.5107345581 46.1398022288 27.0618301398 1.44789600256 2.93816986023 g
57071.3182669 57070.1152628 1.86 1.25 86.0 55.7134208679 49.913954049 25.7413465645 0.694541653127 2.45642939364 g
57072.0407293 57070.1152628 1.69 1.25 86.0 136.409103394 62.5907917305 24.7691377422 0.41002373295 0.66669811588 g
57072.1084477 57070.1152628 1.25 1.25 86.0 17.6691360474 45.6542264302 26.9882078414 1.38587163297 3.01179215864 g
57072.1773785 57070.1152628 1.15 1.25 86.0 -1.72813379765 49.2575434575 30.0 4.0861599223 0.0 g
57072.2459911 57070.1152628 1.29 1.25 86.0 15.0999155045 49.9943718098 27.1588098354 1.58642089848 2.84119016462 g
57072.3152287 57070.1152628 1.85 1.25 86.0 46.5099487305 49.4605404542 25.9373814762 0.786479619347 4.06261852383 g
57073.0382042 57070.1152628 1.69 1.25 86.0 -7.06561899185 70.0222294055 30.0 4.39135721576 0.0 g
57074.036049 57070.1152628 1.68 1.25 86.0 191.519287109 85.6154015716 24.4007148369 0.401195932276 0.643251555353 g
57075.0333523 57070.1152628 1.68 1.25 86.0 484.62713623 71.9121600111 23.3927268071 0.150220265309 0.174393749861 g
57075.1009618 57070.1152628 1.25 1.25 86.0 482.212310791 77.0657283882 23.398150394 0.160973682132 0.189065284638 g
57075.1683354 57070.1152628 1.15 1.25 86.0 623.487731934 54.783670053 23.1191763469 0.0914389844013 0.0998539558801 g
57075.2371175 57070.1152628 1.29 1.25 86.0 634.91003418 71.2690323287 23.0994656512 0.115506621818 0.129274031467 g
57075.3057461 57070.1152628 1.84 1.25 86.0 572.434082031 76.1163975021 23.21193242 0.135545753897 0.154914333001 g
57077.0180013 57070.0472192 1.81 1.68 86.0 794.324839162 213.752013201 22.9282507694 0.258738747549 0.340353597296 r
57077.0857227 57070.1152628 1.28 1.25 86.0 1337.94360352 63.211416193 22.2901516091 0.050120948541 0.0525471390155 g
57077.146451 57070.1152628 1.16 1.25 86.0 1519.65588379 52.9156647046 22.1518829883 0.0371628952117 0.0384801377341 g
57080.0288123 57070.0472192 1.59 1.68 86.0 1587.57781184 210.03787071 22.1764085768 0.134904569297 0.154077051645 r
57080.0770922 57070.1152628 1.28 1.25 86.0 1566.34729004 120.876861503 22.119025978 0.080711808471 0.0871971218631 g
57080.1445979 57070.1152628 1.15 1.25 86.0 1664.82714844 95.006562997 22.0528232548 0.0602562086899 0.0637978238342 g
57089.2123373 57070.0472192 1.35 1.68 86.0 1592.01491916 200.669922725 22.1733782949 0.128892032512 0.146280756886 r
57095.1508398 57070.1152628 1.19 1.25 86.0 657.456665039 48.4205943657 23.061578297 0.077155146043 0.0830602939736 g
