# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15Q, field: Blind15A_26, CCD: N9, ipix: 895, jpix: 988, RA: 09:58:16.24, DEC: 01:58:09.33
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2262864 57070.1406759 1.19 1.29 86.0 -119.113858219 113.119500776 30.0 0.0 0.0 g
57070.2949166 57070.1406759 1.4 1.29 86.0 -100.222975519 110.388743146 30.0 2.54960431744 0.0 g
57070.341931 57070.1406759 1.81 1.29 86.0 -66.5689570727 114.423267008 30.0 4.23155651697 0.0 g
57071.0696431 57070.1406759 1.8 1.29 86.0 -200.989065152 111.647345933 30.0 0.0 0.0 g
57071.1372445 57070.1406759 1.3 1.29 86.0 -74.5860703052 112.781135585 30.0 3.98677201344 0.0 g
57071.2050152 57070.1406759 1.18 1.29 86.0 -22.4324105075 112.485044731 30.0 4.91799492524 0.0 g
57071.2752425 57070.1406759 1.32 1.29 86.0 -0.597539122338 113.16173469 30.0 5.160254552 0.0 g
57071.3442543 57070.1406759 1.89 1.29 86.0 94.7609892802 115.003893895 25.0266721631 0.862757996324 4.97332783688 g
57072.0663697 57070.1406759 1.81 1.29 86.0 -22.4666912305 113.10157961 30.0 4.92499238248 0.0 g
57072.1338538 57070.1406759 1.3 1.29 86.0 -158.377827064 111.906846907 30.0 0.0 0.0 g
57072.2033896 57070.1406759 1.18 1.29 86.0 -12.9477704942 113.815750815 30.0 5.04113718448 0.0 g
57072.2721342 57070.1406759 1.31 1.29 86.0 21.1448351548 112.582651581 26.6552353688 2.00254094712 3.34476463123 g
57072.3413305 57070.1406759 1.88 1.29 86.0 147.799187713 109.268956646 24.54406601 0.600940538459 1.45967608436 g
57073.0637392 57070.1406759 1.81 1.29 86.0 12.1839486675 129.654772103 27.2537759766 2.66501686289 2.74622402337 g
57074.0612409 57070.1406759 1.8 1.29 86.0 400.231220702 146.08938735 23.4624687194 0.337841548983 0.493087012335 g
57075.0589759 57070.1406759 1.8 1.29 86.0 698.610159082 142.17009059 22.8576588861 0.201119011411 0.247041253476 g
57075.1263284 57070.1406759 1.3 1.29 86.0 865.262247272 130.273023866 22.6253767401 0.152272240512 0.17716695948 g
57075.1944674 57070.1406759 1.18 1.29 86.0 1141.10403562 113.807619573 22.3249330249 0.10321977901 0.114073670778 g
57075.2631529 57070.1406759 1.31 1.29 86.0 914.991156948 142.876038486 22.5647038861 0.157535632587 0.184337101288 g
57075.3316381 57070.1406759 1.86 1.29 86.0 788.343764376 136.204736095 22.7264570361 0.173035154377 0.205938611952 g
57077.0435153 57070.0730778 1.94 1.79 86.0 2751.2684609 244.648637683 21.5484137039 0.0924920548985 0.10111124943 r
57077.1110959 57070.1406759 1.34 1.29 86.0 1909.13731474 125.52597656 21.7661532127 0.0691384590163 0.0738423542946 g
57077.1723745 57070.1406759 1.19 1.29 86.0 2072.91143063 112.608906468 21.6767942622 0.0574352643685 0.060644118107 g
57080.0480835 57070.0730778 1.76 1.79 86.0 5219.71606665 244.809888454 20.8531289291 0.0497640336692 0.0521549620691 r
57080.1024985 57070.1406759 1.34 1.29 86.0 2851.17386278 190.465201391 21.3306868753 0.0702099403461 0.0750659443601 g
57080.1706174 57070.1406759 1.18 1.29 86.0 3513.53053234 153.967667055 21.1038867984 0.0465654435351 0.0486523992773 g
57089.2295746 57070.0730778 1.33 1.79 86.0 8363.23929625 253.163857855 20.3413098197 0.0323787191465 0.0333740735429 r
57090.2297045 57070.1406759 1.34 1.29 86.0 5086.73653671 200.62315479 20.7021480174 0.0419990288722 0.0436892594118 g
57095.1176146 57070.0730778 1.19 1.79 86.0 8082.88189347 189.72659456 20.3783305457 0.025190595747 0.0257889631755 r
57095.1700511 57070.1406759 1.21 1.29 86.0 4555.39160512 121.399035106 20.8219318353 0.0285555293182 0.0293268902142 g
