# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15R, field: Blind15A_22, CCD: N27, ipix: 3278, jpix: 1883, RA: 09:46:50.43, DEC: -05:06:01.30
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2207707 57070.1353206 1.12 1.19 86.0 122.782791701 73.7845596584 24.6454023689 0.510934705364 0.997392734001 g
57070.2895389 57070.1353206 1.32 1.19 86.0 -48.3244314785 76.6406076174 30.0 3.7618403848 0.0 g
57070.3365314 57070.1353206 1.7 1.19 86.0 59.94568539 73.8274175206 25.4238513029 0.871527176782 4.57614869708 g
57071.0641999 57070.1353206 1.59 1.19 86.0 43.6695493427 75.0773064471 25.7677993527 1.08610852234 4.23220064726 g
57071.1318719 57070.1353206 1.2 1.19 86.0 77.6507896521 72.2497741561 25.1428814367 0.714143474449 2.89417613308 g
57071.1996069 57070.1353206 1.11 1.19 86.0 109.71753863 72.0743250273 24.7675559876 0.54824596417 1.16147341033 g
57071.2697431 57070.1353206 1.24 1.19 86.0 97.989924854 73.4719185117 24.8902925666 0.607465159613 1.50424067892 g
57071.3388119 57070.1353206 1.77 1.19 86.0 53.7308770854 73.0865598004 25.5426863033 0.932387603703 4.45731369666 g
57072.0609373 57070.1353206 1.59 1.19 86.0 22.9725193151 87.3976218358 26.4652245647 1.70410743154 3.53477543527 g
57072.1284823 57070.1353206 1.2 1.19 86.0 189.646198116 73.2145983599 24.1733857763 0.354454196928 0.529683190159 g
57072.1978605 57070.1353206 1.11 1.19 86.0 227.669602145 73.4682696319 23.9749835066 0.303650820467 0.423042304939 g
57072.2665971 57070.1353206 1.24 1.19 86.0 160.569268717 73.1776443205 24.3540900545 0.407708636599 0.66048154392 g
57072.3358062 57070.1353206 1.76 1.19 86.0 112.487646983 73.4003257763 24.7404840474 0.545366147133 1.14767231148 g
57073.0582944 57070.1353206 1.59 1.19 86.0 330.159440728 102.005096511 23.5714368276 0.292313515673 0.401237444357 g
57074.0559284 57070.1353206 1.59 1.19 86.0 350.861212076 133.95048859 23.5054077297 0.351094333499 0.522135841108 g
57075.1209698 57070.1353206 1.2 1.19 86.0 549.020205247 100.892866858 23.0192753086 0.183167361192 0.220467221467 g
57075.1889276 57070.1353206 1.11 1.19 86.0 656.038851149 75.2962795067 22.8259222296 0.117967191081 0.132364740046 g
57075.2575956 57070.1353206 1.24 1.19 86.0 743.042834633 127.015789215 22.6907115018 0.171336663753 0.203535177785 g
57075.3262361 57070.1353206 1.75 1.19 86.0 681.260577672 103.656430909 22.784962982 0.153776203925 0.179207389952 g
57077.0381329 57070.0677186 1.69 1.58 86.0 1282.20962342 158.969122256 22.2683485479 0.126897041223 0.143715693695 r
57077.1057418 57070.1353206 1.23 1.19 86.0 1033.57703739 95.6931469135 22.3323889976 0.0961375239607 0.105484439778 g
57077.1669688 57070.1353206 1.11 1.19 86.0 1054.55369957 74.9961485311 22.3105743791 0.0745917547318 0.0800968570734 g
57080.0451722 57070.0677186 1.54 1.58 86.0 2150.25291844 185.728979668 21.7070222636 0.0899498181257 0.0980805512415 r
57080.0971428 57070.1353206 1.23 1.19 86.0 1534.05774467 157.637226993 21.9036418593 0.10620087722 0.117726424278 g
57080.1651 57070.1353206 1.11 1.19 86.0 1740.3136716 150.632823788 21.7666772983 0.0901292716247 0.0982939749458 g
57089.2263629 57070.0677186 1.27 1.58 86.0 4028.35683511 222.717243524 21.0254262938 0.0584268481169 0.0617506929209 r
57090.2264287 57070.1353206 1.28 1.19 86.0 2734.12187561 181.425585562 21.2762014539 0.0697556146603 0.0745468062031 g
57095.1146459 57070.0677186 1.11 1.58 86.0 3447.40014163 122.13977579 21.1945168903 0.0378013695334 0.0391650979296 r
57095.1646332 57070.1353206 1.14 1.19 86.0 908.391917254 74.6679035 22.4725629749 0.0857667121847 0.0931273765267 g
