# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15T, field: Blind15A_31, CCD: S4, ipix: 733, jpix: 923, RA: 10:09:11.64, DEC: -06:00:10.27
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2330268 57070.1473607 1.1 1.19 86.0 44.324627363 79.2621611346 25.9016333952 1.11331738429 4.09836660483 g
57070.3016566 57070.1473607 1.28 1.19 86.0 129.069741587 79.4568196251 24.7411850267 0.520842352101 1.03807408726 g
57070.3488716 57070.1473607 1.62 1.19 86.0 31.7207744375 81.1863905499 26.2648866738 1.37844430252 3.73511332622 g
57071.0763185 57070.1473607 1.6 1.19 86.0 52.3940372206 80.6377348735 25.7200414674 1.01168378001 4.2799585326 g
57071.143925 57070.1473607 1.19 1.19 86.0 176.105977156 80.0152136855 24.4038108869 0.406678539884 0.657731131168 g
57071.211847 57070.1473607 1.09 1.19 86.0 128.238317688 78.8559533406 24.748201598 0.520375682208 1.03611483156 g
57071.2820768 57070.1473607 1.21 1.19 86.0 72.1108986772 81.1666307062 25.3732438582 0.818693959047 4.62675614179 g
57071.3510662 57070.1473607 1.67 1.19 86.0 170.63510482 81.8569912991 24.4380751692 0.425448510399 0.709406178192 g
57072.0731738 57070.1473607 1.6 1.19 86.0 199.370358635 89.6924984649 24.2690946529 0.403329252103 0.648854053435 g
57072.1405362 57070.1473607 1.19 1.19 86.0 160.786483108 80.5806197905 24.5026222882 0.441071354282 0.755108545341 g
57072.2103164 57070.1473607 1.09 1.19 86.0 228.416274484 79.980153935 24.1214285186 0.325955739901 0.467968621249 g
57072.2790676 57070.1473607 1.21 1.19 86.0 186.910363463 79.9213151392 24.3391626731 0.386510015746 0.605735143898 g
57072.3480749 57070.1473607 1.67 1.19 86.0 250.952255215 84.336380615 24.0192683709 0.314569327388 0.4446868143 g
57073.0704955 57070.1473607 1.6 1.19 86.0 108.962848493 97.2605155216 24.9250500081 0.692648547524 2.42251499215 g
57074.0678347 57070.1473607 1.6 1.19 86.0 258.983941272 132.750786487 23.9850640387 0.449298095548 0.780248499113 g
57075.0656509 57070.1473607 1.59 1.19 86.0 281.225144972 110.884207554 23.8956107548 0.360882629532 0.544337791022 g
57075.1329992 57070.1473607 1.19 1.19 86.0 545.690223321 101.336325626 23.1758806957 0.184939820374 0.22304294745 g
57075.2011736 57070.1473607 1.09 1.19 86.0 515.585244335 82.7105536699 23.2374949289 0.161538682521 0.189845713667 g
57075.2700366 57070.1473607 1.21 1.19 86.0 472.906380414 117.309116486 23.3313081943 0.240588586944 0.309541907003 g
57075.3385839 57070.1473607 1.66 1.19 86.0 437.065175844 112.931346299 23.4168806169 0.249534347012 0.324554610417 g
57077.0502806 57070.0798618 1.7 1.59 86.0 470.185470141 179.01482379 23.4965731175 0.350273758825 0.52030403433 r
57077.1178 57070.1473607 1.22 1.19 86.0 816.052257544 90.8632897863 22.7389512017 0.114622191364 0.128166954942 g
57077.1792837 57070.1473607 1.1 1.19 86.0 851.970457484 82.8433495137 22.692184789 0.100751456402 0.11106604315 g
57078.1878806 57070.1473607 1.09 1.19 86.0 1085.11886042 91.6324269995 22.4295528481 0.0880184252747 0.0957884275998 g
57080.0522117 57070.0798618 1.59 1.59 86.0 1035.62534842 221.892475179 22.6392394484 0.21077869357 0.26180202716 r
57080.1091673 57070.1473607 1.23 1.19 86.0 1110.2233527 157.150521283 22.4047202327 0.143735980157 0.165710671377 g
57080.1773206 57070.1473607 1.1 1.19 86.0 1164.73769521 147.585712057 22.3526758004 0.12953186031 0.147105702221 g
57089.2373086 57070.0798618 1.22 1.59 86.0 2076.24420375 196.644268721 21.8840500455 0.0982492324255 0.108032529257 r
57090.2374246 57070.1473607 1.24 1.19 86.0 1643.35753115 164.235906982 21.9789159795 0.103421741684 0.114320432753 g
57095.1244151 57070.0798618 1.1 1.59 86.0 2117.25378918 130.507477234 21.8628138312 0.0649431609186 0.0690762582141 r
57095.1769603 57070.1473607 1.12 1.19 86.0 1241.89298151 81.4571360967 22.2830356964 0.0689764690251 0.0736575929318 g
