# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15V, field: Blind15A_35, CCD: N5, ipix: 2801, jpix: 1842, RA: 10:11:00.08, DEC: 01:57:27.02
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2385842 57070.152703 1.2 1.27 86.0 -90.1463144863 99.9620772113 30.0 2.50756400117 0.0 g
57070.3072207 57070.152703 1.43 1.27 86.0 133.431929741 101.857488859 24.6590967106 0.61585657399 1.56481024541 g
57070.3542029 57070.152703 1.9 1.27 86.0 198.371733182 113.084877762 24.2285466586 0.489794414513 0.916494214485 g
57071.0817594 57070.152703 1.72 1.27 86.0 311.885867879 103.693564211 23.7372568868 0.311645871841 0.438827564495 g
57071.1492458 57070.152703 1.28 1.27 86.0 320.095467962 102.245428283 23.7090473149 0.300959029811 0.417804704753 g
57071.2173995 57070.152703 1.18 1.27 86.0 317.963528944 101.606538333 23.7163028571 0.301067972631 0.418015940853 g
57071.2875385 57070.152703 1.34 1.27 86.0 461.999227661 102.446778701 23.3106430043 0.217452887701 0.272197495989 g
57071.3565345 57070.152703 1.98 1.27 86.0 345.418940008 98.877500829 23.6263807603 0.273316717751 0.3661405507 g
57072.0785234 57070.152703 1.73 1.27 86.0 459.180070696 110.17287973 23.3172885517 0.233496362395 0.297871638239 g
57072.1458764 57070.152703 1.28 1.27 86.0 566.599489758 103.702586162 23.0890556804 0.182485963287 0.219479758431 g
57072.2156263 57070.152703 1.18 1.27 86.0 498.730489816 100.347909831 23.2275813292 0.199044353509 0.243913949306 g
57072.2845323 57070.152703 1.34 1.27 86.0 652.563642772 101.9557377 22.935688944 0.157618814582 0.184451078455 g
57072.3536305 57070.152703 1.97 1.27 86.0 468.4326248 113.27482992 23.2956282915 0.235143736944 0.300564459465 g
57073.0758386 57070.152703 1.73 1.27 86.0 366.072742133 116.178325495 23.5633276471 0.299264513415 0.414527098918 g
57075.0709624 57070.152703 1.72 1.27 86.0 857.539618023 130.297644667 22.6391106445 0.153578027351 0.178938142088 g
57075.1383287 57070.152703 1.28 1.27 86.0 1119.36017762 128.042787082 22.3498214972 0.117592298818 0.131892818414 g
57075.2065075 57070.152703 1.18 1.27 86.0 1287.13846664 111.019086567 22.1981829542 0.0898271091083 0.0979346580899 g
57075.2753659 57070.152703 1.33 1.27 86.0 977.31169916 150.989236247 22.497163384 0.155979626388 0.182208846928 g
57075.3441569 57070.152703 1.95 1.27 86.0 931.554709336 136.24319879 22.5492252139 0.148201750067 0.171677744115 g
57077.0557216 57070.0851902 1.85 1.72 86.0 1904.77187801 221.188852875 21.9246387018 0.119280669431 0.134021080616 r
57077.1230908 57070.152703 1.31 1.27 86.0 1568.30067733 119.636143028 21.983672803 0.0798171422123 0.0861537550475 g
57077.1846126 57070.152703 1.18 1.27 86.0 1463.34225401 116.729823616 22.0588813455 0.0833274636056 0.0902582349221 g
57078.1920532 57070.152703 1.18 1.27 86.0 1605.10630568 122.213446399 21.9584866259 0.0796723459337 0.0859850674852 g
57080.0562683 57070.0851902 1.74 1.72 86.0 2043.54877664 268.832805652 21.8482836077 0.134186233669 0.15314037639 r
57080.1144756 57070.152703 1.31 1.27 86.0 1958.62334787 180.009013066 21.74236881 0.095463017196 0.104672847563 g
57080.1826469 57070.152703 1.18 1.27 86.0 1677.8138276 173.576566613 21.9103867049 0.106885592028 0.1185685676 g
57089.2419726 57070.0851902 1.36 1.72 86.0 2864.92188072 293.961413331 21.4814641673 0.106051991793 0.117543464029 r
57090.2420904 57070.152703 1.37 1.27 86.0 793.765258885 213.427244672 22.7230159106 0.258550994226 0.340027669175 g
57095.1284824 57070.0851902 1.19 1.72 86.0 1479.28551541 176.446144084 22.199116116 0.122344870615 0.137902826295 r
57095.1822979 57070.152703 1.22 1.27 86.0 114.8901772 107.206121679 24.8215388799 0.715646055113 2.93673101277 g
