# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15al, field: Blind15A_47, CCD: S15, ipix: 471, jpix: 791, RA: 10:39:11.74, DEC: 00:26:1.52
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.254815 57070.1862861 1.16 1.21 86.0 -31.9872428906 91.5718294599 30.0 4.41358869768 0.0 g
57070.3237655 57070.1862861 1.36 1.21 86.0 54.6276173338 88.4567642764 25.6807154818 1.04544993093 4.31928451818 g
57070.3706674 57070.1862861 1.76 1.21 86.0 87.3002050911 90.1902310902 25.1717079682 0.770399231763 4.82829203184 g
57071.0978992 57070.1862861 1.74 1.21 86.0 -38.2471366588 81.6899889785 30.0 4.07054970168 0.0 g
57071.1653017 57070.1862861 1.27 1.21 86.0 60.1227130484 82.5195581404 25.5766497032 0.938024188004 4.42335029683 g
57071.2336225 57070.1862861 1.16 1.21 86.0 -61.572448501 82.3970213658 30.0 3.27219412766 0.0 g
57071.3039785 57070.1862861 1.28 1.21 86.0 68.3544329967 83.1130242172 25.4373294152 0.863881623808 4.56267058479 g
57071.3726491 57070.1862861 1.82 1.21 86.0 60.0071534534 84.9688295884 25.5787385638 0.957732591351 4.42126143619 g
57072.0946184 57070.1862861 1.75 1.21 86.0 -118.993982887 91.1408878584 30.0 0.0 0.0 g
57072.1632386 57070.1862861 1.26 1.21 86.0 -33.5743839585 85.6661506886 30.0 4.26767658963 0.0 g
57072.2318689 57070.1862861 1.16 1.21 86.0 -1.5237623412 83.6269663951 30.0 4.76165413606 0.0 g
57072.3008771 57070.1862861 1.28 1.21 86.0 -26.0127566835 82.6373127554 30.0 4.35826589747 0.0 g
57072.3697158 57070.1862861 1.82 1.21 86.0 173.487893792 82.8772360286 24.4260731917 0.423974446492 0.705224728747 g
57073.0920296 57070.1862861 1.75 1.21 86.0 76.0102015367 97.6320320617 25.322066418 0.896958698969 4.67793358199 g
57074.3593197 57070.1862861 1.75 1.21 86.0 48.6993940863 136.551550258 25.8054372336 1.45059218186 4.19456276638 g
57075.087085 57070.1862861 1.74 1.21 86.0 176.196812638 105.841564435 24.4092510085 0.510775397766 0.996753870867 g
57075.1543901 57070.1862861 1.27 1.21 86.0 257.084058607 107.578753891 23.9990582593 0.37954082413 0.588546362636 g
57075.2230031 57070.1862861 1.16 1.21 86.0 410.360256943 93.201390836 23.4913328954 0.222218382304 0.279721091406 g
57075.2917489 57070.1862861 1.28 1.21 86.0 490.861746217 112.134793587 23.296848158 0.223389079976 0.281582436594 g
57075.3603768 57070.1862861 1.8 1.21 86.0 97.8644783807 127.010864833 25.047683414 0.90329188386 4.95231658601 g
57077.0718821 57070.1013717 1.87 1.73 86.0 631.822323093 189.784910741 23.1217587131 0.285173220817 0.38783984524 r
57077.2007616 57070.1862861 1.16 1.21 86.0 631.582948935 96.6522347095 23.0231701364 0.154603151821 0.180332155274 g
57078.2016791 57070.1862861 1.16 1.21 86.0 808.032737356 103.325991369 22.7556737368 0.130651002387 0.148551319026 g
57080.1305508 57070.1862861 1.31 1.21 86.0 1068.46347054 158.529361621 22.4523469312 0.150205867299 0.174374334685 g
57080.1991346 57070.1862861 1.16 1.21 86.0 1368.6358263 113.380564335 22.1835263676 0.0864127566168 0.0938896339829 g
57089.2559406 57070.1013717 1.29 1.73 86.0 5831.54356056 253.051160067 20.7087873179 0.0461203305125 0.0481666957317 r
57090.2559656 57070.1862861 1.3 1.21 86.0 4526.58392131 184.760341712 20.884819687 0.0434356582845 0.045246008927 g
57095.1406527 57070.1013717 1.17 1.73 86.0 6456.30936093 164.648604238 20.5982852984 0.0273412469168 0.0280475856517 r
57095.1989013 57070.1862861 1.18 1.21 86.0 4815.01550053 100.362054214 20.8177519042 0.0223979811699 0.0228697859995 g
