# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15aq, field: Blind15A_15, CCD: S19, ipix: 3928, jpix: 1042, RA: 09:35:38.87, DEC: 02:06:50.47
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2113827 57070.1259416 1.19 1.27 86.0 249.57191769 102.710521698 23.9592568378 0.374238197128 0.575720160081 g
57070.2800182 57070.1259416 1.42 1.27 86.0 279.525937259 109.615991632 23.8361908472 0.359214787298 0.540508278606 g
57071.0547404 57070.1259416 1.73 1.27 86.0 -72.5848845725 107.076546618 30.0 3.89203917731 0.0 g
57071.1225111 57070.1259416 1.27 1.27 86.0 -30.0007008511 105.644546781 30.0 4.74468787538 0.0 g
57071.1902024 57070.1259416 1.18 1.27 86.0 65.9701087551 104.207621993 25.403878128 1.02888882045 4.59612187199 g
57071.2601576 57070.1259416 1.33 1.27 86.0 205.65728602 106.741938119 24.1693858774 0.453914615805 0.794701043677 g
57071.3290763 57070.1259416 1.94 1.27 86.0 251.122659495 106.378015967 23.9525313729 0.383477411541 0.598208502598 g
57072.0514953 57070.1259416 1.73 1.27 86.0 -78.0655345379 128.755558727 30.0 4.31006011805 0.0 g
57072.1191074 57070.1259416 1.27 1.27 86.0 -98.713580106 116.746839163 30.0 3.18793942589 0.0 g
57072.1883494 57070.1259416 1.18 1.27 86.0 175.046906228 104.294726715 24.3443600294 0.507453070253 0.983536541683 g
57072.2571045 57070.1259416 1.33 1.27 86.0 207.023551746 104.726085609 24.1621967402 0.444465504452 0.765387196531 g
57072.3260658 57070.1259416 1.94 1.27 86.0 435.226956258 108.132662229 23.355456663 0.240928933166 0.310107044631 g
57073.0488678 57070.1259416 1.73 1.27 86.0 -192.327301055 139.014521883 30.0 0.0 0.0 g
57074.0466056 57070.1259416 1.73 1.27 86.0 -0.974811453878 174.102894934 30.0 5.64367267548 0.0 g
57075.0440347 57070.1259416 1.72 1.27 86.0 119.84194937 139.722100698 24.7557239663 0.839089193163 5.2442760337 g
57075.1116362 57070.1259416 1.27 1.27 86.0 251.411218814 135.668354495 23.9512844945 0.468539000444 0.842226069252 g
57075.179325 57070.1259416 1.18 1.27 86.0 451.506841811 118.145768285 23.3155852889 0.252364389827 0.32937362418 g
57075.2479373 57070.1259416 1.32 1.27 86.0 590.536728371 137.187460866 23.0241288439 0.22679974308 0.287034988328 g
57077.0286277 57070.0582254 1.85 1.72 86.0 2362.38194133 226.093709355 21.6508708428 0.0992349247512 0.109225664952 r
57077.0963837 57070.1259416 1.31 1.27 86.0 2714.36050574 153.220851338 21.368077309 0.0596205515234 0.0630856680657 g
57077.1573194 57070.1259416 1.18 1.27 86.0 2968.48570658 110.79258651 21.2709087228 0.0397849459813 0.0412984321641 g
57080.0396391 57070.0582254 1.62 1.72 86.0 3196.82139139 207.730091199 21.3224501966 0.0683538330367 0.0729479802104 r
57080.0877527 57070.1259416 1.31 1.27 86.0 3050.32560867 223.112171586 21.2413806261 0.0766447241953 0.0824690113871 g
57080.15544 57070.1259416 1.18 1.27 86.0 3016.73104838 158.043280163 21.2534046454 0.0554406670238 0.0584246742338 g
57089.2201005 57070.0582254 1.37 1.72 86.0 3852.95370767 243.906893107 21.1197616504 0.0666434896521 0.0710031889356 r
57090.2200634 57070.1259416 1.39 1.27 86.0 3637.17205243 202.799606007 21.0503365147 0.0589104340773 0.0622911354343 g
57095.0872492 57070.0582254 1.2 1.72 86.0 2978.08196775 179.016503669 21.3994045107 0.0633787024944 0.0673089779168 r
57095.1577775 57070.1259416 1.21 1.27 86.0 2886.81265385 110.239028801 21.3011996274 0.0406890797873 0.0422735158733 g
