# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15av, field: Blind15A_29, CCD: N21, ipix: 1661, jpix: 0370, RA: 09:54:21.19, DEC: -04:37:13.07
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.230266 57070.1446722 1.13 1.19 86.0 297.450467549 99.3819138474 23.9047094883 0.312981118276 0.441497813849 g
57070.2989133 57070.1446722 1.34 1.19 86.0 245.444806573 104.743397068 24.1133615101 0.385869163152 0.60413849775 g
57070.3461078 57070.1446722 1.74 1.19 86.0 357.484298766 95.7870401501 23.7051036988 0.257753217686 0.33864449613 g
57071.073628 57070.1446722 1.57 1.19 86.0 222.828787617 101.245375592 24.2183178848 0.406682777425 0.657742426029 g
57071.1412383 57070.1446722 1.19 1.19 86.0 164.732767891 99.8702730035 24.546296139 0.514537088192 1.01196586542 g
57071.20911 57070.1446722 1.11 1.19 86.0 227.106925041 101.534397232 24.1976701853 0.401229480425 0.643339350767 g
57071.2793232 57070.1446722 1.26 1.19 86.0 213.479742575 99.6922975142 24.264854452 0.416065777479 0.683155810961 g
57071.3483679 57070.1446722 1.81 1.19 86.0 124.695178175 101.216630911 24.8486219778 0.645223183173 1.8129460967 g
57072.0704085 57070.1446722 1.57 1.19 86.0 221.800515355 101.738650005 24.2233397509 0.409910774753 0.666393660952 g
57072.1378371 57070.1446722 1.19 1.19 86.0 202.4416992 100.487039441 24.3224961933 0.437601256479 0.744732235636 g
57072.2075648 57070.1446722 1.11 1.19 86.0 244.398486538 100.563491186 24.1179998477 0.374181792231 0.575584871291 g
57072.2763286 57070.1446722 1.26 1.19 86.0 221.834975102 101.511109009 24.22317108 0.409093966324 0.664195603965 g
57072.3453254 57070.1446722 1.81 1.19 86.0 317.392196365 96.6810661681 23.8342555164 0.288702358873 0.394430025021 g
57073.0677412 57070.1446722 1.57 1.19 86.0 34.5042328292 90.2914470928 26.2435651889 1.39581793961 3.75643481114 g
57074.0651776 57070.1446722 1.57 1.19 86.0 144.097730782 141.780315087 24.6916032739 0.743809157758 4.48413299425 g
57075.06296 57070.1446722 1.56 1.19 86.0 347.906473105 140.910859524 23.734589855 0.369210218992 0.563753416949 g
57075.1303105 57070.1446722 1.19 1.19 86.0 352.657732363 121.934406423 23.7198626016 0.322417824025 0.460654767635 g
57075.1984351 57070.1446722 1.11 1.19 86.0 620.173150785 101.362760102 23.1069637272 0.164362476187 0.193760737126 g
57075.2672855 57070.1446722 1.25 1.19 86.0 457.302528511 138.153666046 23.4377371214 0.286615537304 0.390525754651 g
57075.3358208 57070.1446722 1.79 1.19 86.0 565.964716807 124.775740769 23.2062727347 0.216313841415 0.270411762922 g
57077.047507 57070.0771529 1.67 1.56 86.0 1285.1804308 213.608574975 22.4278358681 0.166940986744 0.197357013502 r
57077.1150815 57070.1446722 1.22 1.19 86.0 1003.86851453 110.539983462 22.5840540452 0.113418954986 0.126664071237 g
57077.1765457 57070.1446722 1.11 1.19 86.0 936.498468016 104.470153088 22.6594784499 0.114826417739 0.128422412893 g
57080.1064724 57070.1446722 1.22 1.19 86.0 1318.63103606 183.98573586 22.2879378948 0.141812346773 0.163157936869 g
57080.1745874 57070.1446722 1.11 1.19 86.0 1122.78156191 187.060013155 22.4625079478 0.167308747307 0.197871602887 g
57089.2341886 57070.0771529 1.27 1.56 86.0 4530.90523968 276.243014638 21.0597836797 0.0642563419974 0.068299729808 r
57090.2343031 57070.1446722 1.29 1.19 86.0 2080.73648363 174.110990224 21.7927034227 0.087250219451 0.0948792162483 g
57095.1217255 57070.0771529 1.12 1.56 86.0 3932.81844987 170.566658782 21.2134863816 0.0460959486213 0.0481401024457 r
57095.1742132 57070.1446722 1.15 1.19 86.0 1936.5938256 102.042661932 21.8706497709 0.0557531252096 0.058771786497 g
