# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15bd, field: Blind15A_12, CCD: S28, ipix: 2770, jpix: 92, RA: 09:29:27.40, DEC: -03:29:20.89
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2072152 57070.121937 1.12 1.2 86.0 -200.950378993 152.977209854 30.0 0.0 0.0 g
57070.275854 57070.121937 1.32 1.2 86.0 -98.7832189551 142.261180242 30.0 4.19942680065 0.0 g
57071.0507509 57070.121937 1.59 1.2 86.0 481.289657779 252.019311833 23.1902298046 0.457201169427 0.805146607831 g
57071.1185064 57070.121937 1.2 1.2 86.0 119.939362523 144.913615133 24.6988417875 0.860107809242 5.30115821248 g
57071.1861697 57070.121937 1.11 1.2 86.0 95.3756250649 144.582334311 24.9476526351 1.00174440696 5.05234736493 g
57071.2546678 57070.121937 1.24 1.2 86.0 287.376660224 146.755703029 23.7501173949 0.447926672765 0.776003608655 g
57071.32507 57070.121937 1.75 1.2 86.0 286.706447556 147.983806094 23.752652479 0.451856107999 0.788225274687 g
57072.0474274 57070.121937 1.6 1.2 86.0 263.343458444 155.142699188 23.8449397912 0.502896406307 0.965730566273 g
57072.1151332 57070.121937 1.2 1.2 86.0 361.798712158 152.46638281 23.5000785865 0.381800078881 0.594076776357 g
57072.1841857 57070.121937 1.11 1.2 86.0 499.212513611 151.619149215 23.1505324703 0.287958024937 0.393034965063 g
57072.2529308 57070.121937 1.24 1.2 86.0 355.283392565 147.325656636 23.5198088601 0.376638490856 0.581499566673 g
57072.3220579 57070.121937 1.75 1.2 86.0 308.560021383 151.397757868 23.6728969882 0.433445781274 0.732478452204 g
57073.0448694 57070.121937 1.6 1.2 86.0 324.302998288 175.385004863 23.6188687184 0.46936989711 0.845009470356 g
57074.0426536 57070.121937 1.59 1.2 86.0 644.879309114 233.35550519 22.8725500209 0.335330515519 0.487708703839 g
57075.0400509 57070.121937 1.59 1.2 86.0 783.139731347 164.621118335 22.6616479837 0.207148767587 0.256216211069 g
57075.107637 57070.121937 1.2 1.2 86.0 990.708501544 165.642442193 22.4063814036 0.167859423398 0.198642919624 g
57075.1751644 57070.121937 1.11 1.2 86.0 995.584263859 153.58714234 22.4010510692 0.155766969336 0.181918541881 g
57075.2439478 57070.121937 1.24 1.2 86.0 954.560326265 194.10145953 22.4467376778 0.200971982196 0.24681913028 g
57075.3125409 57070.121937 1.73 1.2 86.0 1233.31709756 269.44422928 22.1685592476 0.214538144717 0.26763749139 g
57077.0246496 57070.0540916 1.7 1.59 86.0 1084.40060984 200.156537897 22.4792717452 0.183909192254 0.221543990501 r
57077.0923897 57070.121937 1.23 1.2 86.0 1847.68681791 225.074685586 21.7296752271 0.124802434219 0.141034103784 g
57077.1533081 57070.121937 1.11 1.2 86.0 1351.19760382 152.405460366 22.0694489621 0.116035839232 0.129937445893 g
57080.0356356 57070.0540916 1.51 1.59 86.0 1063.09083676 172.675483086 22.5008201911 0.163414949451 0.192444336864 r
57080.0837553 57070.121937 1.23 1.2 86.0 2204.54218184 313.537498314 21.5379500955 0.14437763852 0.166564521444 g
57080.1514506 57070.121937 1.11 1.2 86.0 4142.95210584 248.674219131 20.8529713463 0.0632886675522 0.067207435418 g
57090.2154364 57070.121937 1.29 1.2 86.0 6439.15789053 300.385166836 20.3741734424 0.0495034449493 0.0518687988187 g
57095.0832538 57070.0540916 1.13 1.59 86.0 502.181725975 125.750483597 23.3150938656 0.242629639032 0.312938109865 r
57095.1536132 57070.121937 1.14 1.2 86.0 1139.73954705 148.476474833 22.2542320835 0.132957696157 0.15154172558 g
