# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15bf, field: Blind15A_46, CCD: N22, ipix: 1956, jpix: 320, RA: 10:36:38.07, DEC: 01:20:28.46
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.253482 57070.1849634 1.19 1.23 86.0 18.1257539844 75.8466270383 26.9245059253 1.78676037444 3.07549407475 g
57070.3223755 57070.1849634 1.4 1.23 86.0 -10.6346767647 75.09631964 30.0 4.45300729636 0.0 g
57070.3693403 57070.1849634 1.84 1.23 86.0 63.3147449686 77.929969005 25.5664839734 0.871168354055 4.43351602659 g
57071.0965764 57070.1849634 1.77 1.23 86.0 4.37958567286 75.2848424035 28.4666635622 3.14957854061 1.53333643782 g
57071.16397 57070.1849634 1.29 1.23 86.0 71.856699755 73.0061833673 25.4290779606 0.761224643692 4.57092203936 g
57071.2322933 57070.1849634 1.18 1.23 86.0 -26.8638791347 75.1972093252 30.0 4.14037067008 0.0 g
57071.3025873 57070.1849634 1.32 1.23 86.0 -24.5495082178 73.9793762448 30.0 4.16472749924 0.0 g
57071.3713299 57070.1849634 1.91 1.23 86.0 93.6101895843 75.8158821412 25.1419383161 0.644142791761 1.80260508733 g
57072.0932936 57070.1849634 1.77 1.23 86.0 -5.13715753794 79.5864721614 30.0 4.60940563193 0.0 g
57072.16192 57070.1849634 1.28 1.23 86.0 61.888421992 73.2244712442 25.5912226047 0.847718461199 4.40877739528 g
57072.230482 57070.1849634 1.18 1.23 86.0 55.9768792947 73.0429395422 25.7002244208 0.90661936203 4.29977557922 g
57072.2995506 57070.1849634 1.32 1.23 86.0 91.4911055012 73.5710916873 25.1667989399 0.640671866379 1.77010133791 g
57072.3683392 57070.1849634 1.9 1.23 86.0 10.9267362313 69.8026913056 27.4740199795 2.17135353353 2.52598002049 g
57073.0907063 57070.1849634 1.77 1.23 86.0 31.0347845355 91.5884411433 26.3406242917 1.49181000439 3.65937570831 g
57075.0857622 57070.1849634 1.76 1.23 86.0 191.642279835 97.7012120407 24.3640178063 0.447305974064 0.774089590931 g
57075.1530566 57070.1849634 1.29 1.23 86.0 179.216572565 101.246673962 24.4368007096 0.486244473897 0.903627994871 g
57075.2216633 57070.1849634 1.18 1.23 86.0 141.135711066 86.7784525077 24.696153839 0.52033599829 1.03594842535 g
57075.2904228 57070.1849634 1.31 1.23 86.0 123.76740288 100.525373883 24.8387304335 0.64552252429 1.81583059794 g
57075.3590439 57070.1849634 1.89 1.23 86.0 100.456662292 121.979410996 25.0652992669 0.863066188256 4.93470073308 g
57077.0705584 57070.1000406 1.9 1.76 86.0 574.566441836 179.924732687 23.2818954857 0.295784767804 0.407843184067 r
57077.1994473 57070.1849634 1.18 1.23 86.0 418.49521362 83.2941575751 23.5160198899 0.197077406638 0.240962792705 g
57080.1292144 57070.1849634 1.33 1.23 86.0 704.626923827 172.759411268 22.9503480442 0.238079081505 0.305389424862 g
57080.1978099 57070.1849634 1.18 1.23 86.0 817.641050176 105.744368072 22.7888394097 0.132050811734 0.150364296278 g
57089.2543622 57070.1000406 1.32 1.76 86.0 2658.65589259 313.096937448 21.6185908015 0.120876385832 0.136039443267 r
57090.254461 57070.1849634 1.34 1.23 86.0 1769.36354004 147.587180144 21.9507034435 0.0869846864909 0.0945652707103 g
57095.1393308 57070.1000406 1.19 1.76 86.0 2508.14731039 142.026212973 21.6818635276 0.0598031765367 0.0632901807155 r
57095.1975698 57070.1849634 1.21 1.23 86.0 1576.46443135 82.5454384421 22.0760356868 0.0554119830594 0.058392819557 g
