# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15bt, field: Blind15A_14, CCD: S11, ipix: 3355, jpix: 1003, RA: 09:28:22.88, DEC: -00:02:47.05
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2099963 57070.1246159 1.17 1.24 86.0 -70.9856979705 86.7400822977 30.0 2.90525746151 0.0 g
57070.2786409 57070.1246159 1.39 1.24 86.0 112.171132224 85.8466873897 24.9635433693 0.61705792654 1.57380470645 g
57071.0534141 57070.1246159 1.65 1.24 86.0 -121.511843812 84.674623531 30.0 0.0 0.0 g
57071.12117 57070.1246159 1.24 1.24 86.0 13.2937361244 83.5102950764 27.2791284932 2.15561597256 2.72087150675 g
57071.1888197 57070.1246159 1.15 1.24 86.0 -147.457314155 84.1265265437 30.0 0.0 0.0 g
57071.2574727 57070.1246159 1.3 1.24 86.0 66.4605802908 84.4849893619 25.5318358058 0.890640604481 4.46816419424 g
57071.2588164 57070.0568767 1.3 1.65 86.0 -135.098202699 149.125175571 30.0 2.63616376457 0.0 r
57071.3277374 57070.1246159 1.9 1.24 86.0 124.828744578 80.9698233777 24.8474596212 0.542819364103 1.13564164413 g
57072.0501682 57070.1246159 1.66 1.24 86.0 -213.025331149 110.506988596 30.0 0.0 0.0 g
57072.1177877 57070.1246159 1.24 1.24 86.0 -42.0709858863 90.566195945 30.0 4.12600098397 0.0 g
57072.1869637 57070.1246159 1.15 1.24 86.0 -24.5990672042 90.3066932022 30.0 4.45579331317 0.0 g
57072.2557213 57070.1246159 1.3 1.24 86.0 132.709887174 84.4192162672 24.7809879282 0.53453689788 1.09760010204 g
57072.324745 57070.1246159 1.9 1.24 86.0 58.6703321898 86.7318965434 25.6671997601 0.985381290691 4.33280023986 g
57073.0475212 57070.1246159 1.66 1.24 86.0 -23.6026635828 124.465857375 30.0 4.92108566139 0.0 g
57075.0427147 57070.1246159 1.65 1.24 86.0 -61.1475345597 125.148534661 30.0 4.42722077307 0.0 g
57075.1103064 57070.1246159 1.24 1.24 86.0 -57.4689060295 105.096921918 30.0 4.10641009648 0.0 g
57075.1779393 57070.1246159 1.15 1.24 86.0 -34.6748894183 93.7197967299 30.0 4.33970998486 0.0 g
57075.2466073 57070.1246159 1.3 1.24 86.0 157.654296501 113.995577843 24.5939816008 0.59075924387 1.39408706374 g
57075.3152493 57070.1246159 1.88 1.24 86.0 64.9916516056 128.415378219 25.556102194 1.18403670454 4.44389780602 g
57077.0273001 57070.0568767 1.77 1.65 86.0 237.716730421 200.603368644 24.2910967574 0.664329093207 2.016323633 r
57077.0950469 57070.1246159 1.27 1.24 86.0 65.1145283064 116.316614969 25.554051381 1.11258484601 4.44594861902 g
57077.1559806 57070.1246159 1.15 1.24 86.0 25.8966904805 88.3330363644 26.5551354629 1.61133718046 3.44486453712 g
57080.0383054 57070.0568767 1.56 1.65 86.0 -526.865303863 177.984011839 30.0 0.0 0.0 r
57080.0864167 57070.1246159 1.27 1.24 86.0 290.337839088 192.178322739 23.9309870277 0.55152056103 1.17742807573 g
57080.1541015 57070.1246159 1.15 1.24 86.0 66.4868656513 159.039480586 25.5314064787 1.32615356045 4.46859352129 g
57090.2185025 57070.1246159 1.36 1.24 86.0 2767.48373658 194.426029507 21.4830334347 0.0737168658098 0.0790888773762 g
57095.0859134 57070.0568767 1.17 1.65 86.0 3896.51403484 159.122668504 21.254555516 0.0434569997144 0.045269167142 r
57095.1563902 57070.1246159 1.19 1.24 86.0 3676.95410277 94.362795974 21.174525606 0.0275120456591 0.0282273527939 g
