# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15bu, field: Blind15A_19, CCD: S12, ipix: 1018, jpix: 797, RA: 09:38:11.29, DEC: -04:02:0.49
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2167215 57070.1312927 1.13 1.19 86.0 -19.7538520417 68.9242947746 30.0 4.24101416868 0.0 g
57070.2854458 57070.1312927 1.33 1.19 86.0 -101.285097618 69.8945235641 30.0 0.0 0.0 g
57070.3324582 57070.1312927 1.73 1.19 86.0 -231.679766965 73.2927902174 30.0 0.0 0.0 g
57071.0601069 57070.1312927 1.57 1.19 86.0 -73.1900519738 69.9139959942 30.0 0.0 0.0 g
57071.1955317 57070.1312927 1.11 1.19 86.0 -81.2107795944 67.9513378813 30.0 0.0 0.0 g
57071.2656643 57070.1312927 1.25 1.19 86.0 1.73661956348 68.261722569 29.3889844052 4.01345766245 0.611015594786 g
57071.3346489 57070.1312927 1.8 1.19 86.0 -113.920014962 70.6629763352 30.0 0.0 0.0 g
57072.0568412 57070.1312927 1.57 1.19 86.0 -124.88675134 90.4103398486 30.0 0.0 0.0 g
57072.1244666 57070.1312927 1.19 1.19 86.0 -115.345749975 71.4314166336 30.0 0.0 0.0 g
57072.1937921 57070.1312927 1.11 1.19 86.0 -200.505918223 72.4197985193 30.0 0.0 0.0 g
57072.2624662 57070.1312927 1.25 1.19 86.0 23.7604003037 68.6796084366 26.5486117452 1.47501556179 3.45138825478 g
57072.3316361 57070.1312927 1.79 1.19 86.0 -136.232169043 71.208884951 30.0 0.0 0.0 g
57073.0542127 57070.1312927 1.57 1.19 86.0 -175.760345097 94.5713701343 30.0 0.0 0.0 g
57074.0519003 57070.1312927 1.57 1.19 86.0 -30.5651210175 109.892223209 30.0 4.76030784654 0.0 g
57074.3189177 57070.1312927 1.7 1.19 86.0 -102.375715165 124.856876339 30.0 3.3913007199 0.0 g
57075.0494839 57070.1312927 1.56 1.19 86.0 -175.568018554 107.986939711 30.0 0.0 0.0 g
57075.1169513 57070.1312927 1.19 1.19 86.0 -137.98893975 99.8719660235 30.0 0.0 0.0 g
57075.1847679 57070.1312927 1.11 1.19 86.0 -52.757301849 70.884099214 30.0 3.15755657165 0.0 g
57075.2535318 57070.1312927 1.25 1.19 86.0 -8.68100422248 110.974842602 30.0 5.03637755934 0.0 g
57075.3221541 57070.1312927 1.78 1.19 86.0 -126.77903546 111.003912372 30.0 0.0 0.0 g
57077.033985 57070.063707 1.67 1.56 86.0 283.725498453 164.603166814 23.988000209 0.496745350106 0.942262955443 r
57077.1017369 57070.1312927 1.22 1.19 86.0 86.3992121203 89.881222637 25.1469716728 0.774235826982 4.85302832724 g
57077.1628915 57070.1312927 1.11 1.19 86.0 -142.086552073 74.8106063557 30.0 0.0 0.0 g
57080.0411663 57070.063707 1.51 1.56 86.0 173.016867516 146.08725926 24.5250250161 0.664609939684 2.01964602254 r
57080.093114 57070.1312927 1.22 1.19 86.0 -255.619838235 185.719775195 30.0 0.0 0.0 g
57080.1609666 57070.1312927 1.11 1.19 86.0 -188.112595781 142.537207881 30.0 0.0 0.0 g
57089.2217937 57070.063707 1.28 1.56 86.0 1101.23613796 183.609606004 22.5155449914 0.167426338949 0.198036231394 r
57090.2217978 57070.1312927 1.29 1.19 86.0 1626.50972326 150.688462808 21.9601044685 0.0961979936594 0.105557253502 g
57095.1105714 57070.063707 1.11 1.56 86.0 4293.0697123 139.769830237 21.0383262762 0.0347851761949 0.0359366275195 r
57095.1605637 57070.1312927 1.14 1.19 86.0 4201.21105085 81.2194697693 20.9298098802 0.0207895659894 0.021195426494 g
