# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15by, field: Blind15A_30, CCD: S26, ipix: 3062, jpix: 1568, RA: 10:00:01.05, DEC: -05:23:34.00
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2316366 57070.1460093 1.11 1.17 86.0 76.7834142976 87.5654419237 25.1590775786 0.826248165409 4.84092242142 g
57070.3002428 57070.1460093 1.3 1.17 86.0 100.575714761 90.9186370916 24.866013309 0.699157103188 2.54411850824 g
57070.347505 57070.1460093 1.67 1.17 86.0 21.009110633 89.7304336628 26.566226958 1.80473765992 3.43377304201 g
57071.0749578 57070.1460093 1.55 1.17 86.0 73.796781927 89.8953979932 25.2021525685 0.864976271159 4.79784743154 g
57071.1425671 57070.1460093 1.18 1.17 86.0 42.5382167776 88.4199498728 25.8002979278 1.22088326606 4.19970207218 g
57071.2104398 57070.1460093 1.1 1.17 86.0 -23.6264647393 87.1228865762 30.0 4.63462700322 0.0 g
57071.2807121 57070.1460093 1.23 1.17 86.0 112.36379282 87.6860422179 24.7456801523 0.626279518209 1.64580204865 g
57071.3497058 57070.1460093 1.74 1.17 86.0 90.6000986702 88.6364059025 24.9794244515 0.740744487902 4.1601378251 g
57072.0718093 57070.1460093 1.55 1.17 86.0 230.702125352 85.8931515589 23.9646171394 0.343632090275 0.505640299066 g
57072.1391773 57070.1460093 1.18 1.17 86.0 90.0739545649 86.4991584877 24.9857480525 0.730813359095 3.50336989384 g
57072.2089537 57070.1460093 1.1 1.17 86.0 -23.4816017382 87.3811155487 30.0 4.64149775632 0.0 g
57072.277707 57070.1460093 1.23 1.17 86.0 93.8518301189 88.1650746821 24.9411392636 0.719172447731 3.04394548583 g
57072.3466608 57070.1460093 1.73 1.17 86.0 20.8322275624 91.5282253497 26.5754068507 1.8296944254 3.4245931493 g
57073.069138 57070.1460093 1.55 1.17 86.0 63.2303036307 99.3899794381 25.3699329599 1.0256236135 4.63006704012 g
57074.0664935 57070.1460093 1.55 1.17 86.0 331.361911332 145.979726464 23.5714896616 0.396316830651 0.630586475688 g
57075.0642861 57070.1460093 1.54 1.17 86.0 581.640921157 139.923360358 22.9606087442 0.234050183208 0.298775720704 g
57075.1316457 57070.1460093 1.18 1.17 86.0 106.688083557 104.533208516 24.8019563432 0.741554452487 4.23673455791 g
57075.1998146 57070.1460093 1.1 1.17 86.0 3.54609655502 91.0766830927 28.4978697365 3.56561286287 1.50213026346 g
57075.2686767 57070.1460093 1.22 1.17 86.0 67.998973313 128.625895634 25.2909902393 1.15284022659 4.70900976072 g
57075.3371877 57070.1460093 1.72 1.17 86.0 45.6819013949 114.978650688 25.722885698 1.36541270743 4.27711430198 g
57077.0488466 57070.0784897 1.65 1.54 86.0 297.082145297 186.189352795 23.8200547496 0.528286577778 1.06993307845 r
57077.1164402 57070.1460093 1.21 1.17 86.0 -81.7987971371 99.8513804855 30.0 3.26910226889 0.0 g
57077.1779301 57070.1460093 1.1 1.17 86.0 94.8368057129 89.5797316944 24.9298038339 0.722057364511 3.14058206459 g
57078.1865287 57070.1460093 1.09 1.17 86.0 130.867703773 105.288654203 24.5801649224 0.640917900478 1.77237019679 g
57080.0508591 57070.0784897 1.54 1.54 86.0 -207.396779163 231.081115053 30.0 3.43390690086 0.0 r
57080.1078064 57070.1460093 1.21 1.17 86.0 1.35940289041 165.262514359 29.5388756556 5.22095984602 0.461124344391 g
57080.1759645 57070.1460093 1.09 1.17 86.0 -222.927715919 188.28765322 30.0 0.0 0.0 g
57089.2357025 57070.0784897 1.24 1.54 86.0 14720.5882423 246.492739268 19.5824332157 0.0180298587472 0.0183343277919 r
57090.2358175 57070.1460093 1.26 1.17 86.0 12829.2132384 176.934669218 19.6017460688 0.0148716620328 0.0150781959849 g
57095.1230619 57070.0784897 1.1 1.54 86.0 15452.3057414 148.989297804 19.5297628967 0.0104183934813 0.0105193345898 r
57095.1756032 57070.1460093 1.12 1.17 86.0 12880.2437947 121.178881353 19.5974359198 0.0101669852123 0.0102630909358 g
