# HiTS supernova preliminar difference light curves (with errors, do not use for publication!) 20160701
# Name: SNHiTS15ce, field: Blind15A_43, CCD: S1, ipix: 926, jpix: 558, RA: 10:23:21.39, DEC: -02:01:11.82
MJD MJDref airmasssci airmassref exptimeref ADU e_ADU mag e1_mag e2_mag band
57070.2493608 57070.1634274 1.14 1.22 86.0 489.304916567 154.488583241 23.2682971791 0.297917519572 0.411932359001 g
57070.3182988 57070.1634274 1.35 1.22 86.0 537.814956509 154.671014785 23.1656639389 0.274445260001 0.368177282015 g
57070.3652113 57070.1634274 1.75 1.22 86.0 496.650700188 142.966683504 23.2521184979 0.274673016302 0.368589045016 g
57071.0924782 57070.1634274 1.64 1.22 86.0 -82.6098657601 151.580030004 30.0 4.60440702241 0.0 g
57071.1599776 57070.1634274 1.22 1.22 86.0 88.8508961753 146.064733445 25.1205915967 1.05562525008 4.87940840334 g
57071.2281741 57070.1634274 1.13 1.22 86.0 376.625044654 148.171006705 23.5524731377 0.360203406283 0.542775893785 g
57071.2985095 57070.1634274 1.27 1.22 86.0 332.588540675 147.476314182 23.6874779243 0.398481578145 0.636180442721 g
57071.3673198 57070.1634274 1.82 1.22 86.0 528.190962792 147.5158775 23.1852687124 0.267418372778 0.35559128139 g
57072.0892808 57070.1634274 1.64 1.22 86.0 54.8298539817 153.82979212 25.6447034048 1.45105344288 4.35529659516 g
57072.1578957 57070.1634274 1.22 1.22 86.0 50.2521758558 149.763617233 25.7393589509 1.49977354416 4.26064104915 g
57072.2263896 57070.1634274 1.13 1.22 86.0 189.541416042 146.321520568 24.2979858259 0.621144900103 1.60505102159 g
57072.2954066 57070.1634274 1.27 1.22 86.0 444.751238881 146.704015264 23.3719532118 0.309511819138 0.434580214714 g
57072.3643194 57070.1634274 1.82 1.22 86.0 706.517165912 146.633166546 22.8694393327 0.204757115475 0.252561654909 g
57073.086693 57070.1634274 1.64 1.22 86.0 -117.737002995 128.398752612 30.0 2.57732506997 0.0 g
57075.0817353 57070.1634274 1.64 1.22 86.0 -295.294832448 186.115024747 30.0 0.0 0.0 g
57075.1490481 57070.1634274 1.22 1.22 86.0 211.386186693 192.007495493 24.1795546172 0.701631219501 2.59438040518 g
57075.2175026 57070.1634274 1.13 1.22 86.0 396.515595626 154.601927037 23.4965954443 0.357459865055 0.536499664981 g
57075.2864195 57070.1634274 1.27 1.22 86.0 1229.27350003 191.682636656 22.2681248295 0.157330381254 0.184055951475 g
57077.0665026 57070.095981 1.75 1.63 86.0 -1401.09001408 288.375846847 30.0 0.0 0.0 r
57077.1338111 57070.1634274 1.26 1.22 86.0 34.4797320369 151.798308473 26.1483364231 1.83149444717 3.85166357689 g
57077.1954535 57070.1634274 1.13 1.22 86.0 83.8333352432 155.996747758 25.1837042667 1.14121728297 4.81629573331 g
57078.1989023 57070.1634274 1.13 1.22 86.0 426.465685554 155.298831027 23.4175358968 0.337157840909 0.491618722785 g
57080.1251863 57070.1634274 1.26 1.22 86.0 452.322322079 291.959910005 23.3536260764 0.540724076793 1.12586360165 g
57080.1936658 57070.1634274 1.13 1.22 86.0 425.103451119 174.201737893 23.4210095513 0.372883518209 0.572477509774 g
57089.2512451 57070.095981 1.28 1.63 86.0 29955.1791889 386.535728987 18.9520663235 0.0139205042189 0.0141013031768 r
57090.2513582 57070.1634274 1.29 1.22 86.0 29233.8346437 227.926923751 18.8275316628 0.00843231087245 0.00849831288922 g
57095.1365877 57070.095981 1.14 1.63 86.0 70627.9067689 313.410080551 18.0208052905 0.00480727687282 0.00482865658469 r
57095.1934207 57070.1634274 1.16 1.22 86.0 62316.9630206 210.458526482 18.0057304279 0.00366059969853 0.00367298330913 g
